numero_cde,date,sku,description,quantite,entrepot_destination
MTX-001287,2026-07-18,SKU-30026,Chemise popeline,4,OMG-LYO
MTX-000945,2025-02-05,SKU-30025,Pull col rond,18,OMG-MAR
MTX-000308,2026-06-23,SKU-30027,Short de sport,27,OMG-LIL
MTX-000862,19-06-2025,SKU-30028,Doudoune legere,12,OMG-MAR
MTX-000837,11-04-2025,SKU-30030,Robe ete,40,OMG-LIL
MTX-000079,31-07-2025,SKU-30028,Doudoune legere,5,OMG-MAR
MTX-000850,30/11/2025,SKU-30026,Chemise popeline,13,OMG-LYO
MTX-001125,25-11-2025,SKU-30022,Jean coupe droite,31,OMG-LYO
MTX-000701,20-05-2025,SKU-30021,T-shirt coton uni,9,OMG-MAR
MTX-000667,25/07/2026,SKU-30027,Short de sport,28,OMG-MAR
MTX-000930,06-04-2026,SKU-30024,Chaussettes x3,37,OMG-LIL
MTX-000963,10/04/2025,SKU-30024,Chaussettes x3,2,OMG-MAR
MTX-000019,09-06-2026,SKU-30030,Robe ete,3,OMG-LYO
MTX-000910,2025-04-22,SKU-30026,Chemise popeline,5,OMG-LYO
MTX-001357,16/08/2025,SKU-30024,Chaussettes x3,32,OMG-MAR
MTX-000817,07/02/2026,SKU-30023,Veste softshell,23,OMG-LIL
MTX-001199,12-05-2025,SKU-30027,Short de sport,14,OMG-LIL
MTX-000369,25-05-2025,SKU-30024,Chaussettes x3,6,OMG-LYO
MTX-000527,27-07-2025,SKU-30030,Robe ete,25,OMG-LIL
MTX-000161,23-11-2025,SKU-30027,Short de sport,6,OMG-MAR
MTX-000202,20-08-2025,SKU-30024,Chaussettes x3,20,OMG-MAR
MTX-000097,14-02-2026,SKU-30024,Chaussettes x3,26,OMG-LIL
MTX-001030,01/03/2025,SKU-30026,Chemise popeline,16,OMG-LIL
MTX-001056,12-08-2025,SKU-30021,T-shirt coton uni,8,OMG-MAR
MTX-000805,2025-10-02,SKU-30022,Jean coupe droite,32,OMG-LYO
MTX-000639,18-04-2025,SKU-30027,Short de sport,38,OMG-MAR
MTX-001326,27/07/2026,SKU-30030,Robe ete,22,OMG-LIL
MTX-001324,30/07/2026,SKU-30022,Jean coupe droite,28,OMG-LYO
MTX-000588,2025-01-19,SKU-30022,Jean coupe droite,4,OMG-LYO
MTX-000871,15/12/2025,SKU-30030,Robe ete,9,OMG-LYO
MTX-000081,2026-05-19,SKU-30022,Jean coupe droite,9,OMG-LYO
MTX-000178,14-01-2025,SKU-30022,Jean coupe droite,34,OMG-LIL
MTX-000990,06-06-2025,SKU-30028,Doudoune legere,8,OMG-LYO
MTX-001300,14/06/2026,SKU-30026,Chemise popeline,25,OMG-LIL
MTX-000096,31-07-2025,SKU-30028,Doudoune legere,39,OMG-LYO
MTX-000304,2026-05-07,SKU-30026,Chemise popeline,9,OMG-MAR
MTX-001348,2026-07-19,SKU-30022,Jean coupe droite,10,OMG-LYO
MTX-000496,01/04/2025,SKU-30028,Doudoune legere,23,OMG-MAR
MTX-000688,20/02/2025,SKU-30027,Short de sport,15,OMG-MAR
MTX-001277,2025-06-18,SKU-30030,Robe ete,22,OMG-LYO
MTX-000178,2025-01-14,SKU-30023,Veste softshell,16,OMG-LIL
MTX-000968,10-07-2025,SKU-30024,Chaussettes x3,15,OMG-LYO
MTX-000740,21/07/2026,SKU-30023,Veste softshell,12,OMG-LIL
MTX-001206,03/01/2026,SKU-30030,Robe ete,3,OMG-LYO
MTX-000195,2026-05-18,SKU-30027,Short de sport,7,OMG-MAR
MTX-000252,21/07/2026,SKU-30025,Pull col rond,7,OMG-MAR
MTX-000703,19/04/2025,SKU-30030,Robe ete,35,OMG-LIL
MTX-000496,01-04-2025,SKU-30030,Robe ete,15,OMG-MAR
MTX-000875,2025-02-27,SKU-30025,Pull col rond,31,OMG-LYO
MTX-000096,31/07/2025,SKU-30025,Pull col rond,14,OMG-LYO
MTX-000463,06/10/2025,SKU-30022,Jean coupe droite,24,OMG-MAR
MTX-000934,21-01-2025,SKU-30023,Veste softshell,16,OMG-MAR
MTX-001286,2025-09-04,SKU-30024,Chaussettes x3,29,OMG-MAR
MTX-000815,07-04-2026,SKU-30028,Doudoune legere,16,OMG-LYO
MTX-000106,2026-04-19,SKU-30025,Pull col rond,25,OMG-MAR
MTX-001092,2025-06-27,SKU-30024,Chaussettes x3,16,OMG-MAR
MTX-000106,19-04-2026,SKU-30027,Short de sport,22,OMG-MAR
MTX-001394,2026-07-27,SKU-30028,Doudoune legere,29,OMG-MAR
MTX-000579,03/07/2026,SKU-30029,Casquette coton,3,OMG-LYO
MTX-000184,24/01/2026,SKU-30021,T-shirt coton uni,7,OMG-LYO
MTX-000880,2025-05-12,SKU-30029,Casquette coton,35,OMG-MAR
MTX-001091,2025-08-31,SKU-30026,Chemise popeline,37,OMG-LYO
MTX-001176,14/09/2025,SKU-30030,Robe ete,34,OMG-MAR
MTX-000985,16/03/2026,SKU-30022,Jean coupe droite,35,OMG-LYO
MTX-000354,2025-07-04,SKU-30026,Chemise popeline,26,OMG-LIL
MTX-000040,2025-01-21,SKU-30030,Robe ete,2,OMG-MAR
MTX-000504,17/10/2025,SKU-30026,Chemise popeline,30,OMG-LYO
MTX-000869,28/05/2026,SKU-30026,Chemise popeline,18,OMG-LIL
MTX-001060,26/09/2025,SKU-30028,Doudoune legere,10,OMG-LIL
MTX-000171,2026-06-06,SKU-30022,Jean coupe droite,31,OMG-MAR
MTX-000903,2025-04-05,SKU-30023,Veste softshell,34,OMG-MAR
MTX-000780,30/07/2026,SKU-30025,Pull col rond,20,OMG-MAR
MTX-001236,2025-06-02,SKU-30029,Casquette coton,30,OMG-LYO
MTX-001029,03/05/2026,SKU-30024,Chaussettes x3,21,OMG-LIL
MTX-000258,2025-10-29,SKU-30025,Pull col rond,29,OMG-MAR
MTX-000186,05/03/2025,SKU-30026,Chemise popeline,24,OMG-LYO
MTX-000227,03/05/2026,SKU-30021,T-shirt coton uni,32,OMG-MAR
MTX-000095,17-06-2025,SKU-30030,Robe ete,6,OMG-MAR
MTX-000115,06-05-2026,SKU-30023,Veste softshell,19,OMG-LYO
MTX-000680,19/10/2025,SKU-30026,Chemise popeline,39,OMG-LYO
MTX-000620,11-03-2026,SKU-30030,Robe ete,1,OMG-LYO
MTX-000227,03/05/2026,SKU-30026,Chemise popeline,11,OMG-MAR
MTX-001135,26/07/2025,SKU-30025,Pull col rond,9,OMG-MAR
MTX-000800,2025-10-18,SKU-30021,T-shirt coton uni,15,OMG-LYO
MTX-000884,07-01-2025,SKU-30028,Doudoune legere,12,OMG-MAR
MTX-000877,2025-08-05,SKU-30024,Chaussettes x3,20,OMG-MAR
MTX-000399,03-09-2025,SKU-30021,T-shirt coton uni,16,OMG-LYO
MTX-000955,14/11/2025,SKU-30030,Robe ete,16,OMG-MAR
MTX-000868,16/06/2025,SKU-30021,T-shirt coton uni,10,OMG-LIL
MTX-001057,15/11/2025,SKU-30030,Robe ete,11,OMG-LYO
MTX-000276,2026-05-24,SKU-30024,Chaussettes x3,20,OMG-LIL
MTX-000837,11-04-2025,SKU-30021,T-shirt coton uni,2,OMG-LIL
MTX-000959,04/04/2025,SKU-30029,Casquette coton,2,OMG-MAR
MTX-000533,12-11-2025,SKU-30024,Chaussettes x3,20,OMG-LYO
MTX-000098,06/01/2025,SKU-30023,Veste softshell,17,OMG-LYO
MTX-000735,04-08-2025,SKU-30021,T-shirt coton uni,16,OMG-LYO
MTX-000540,2025-07-16,SKU-30026,Chemise popeline,8,OMG-LYO
MTX-000496,01/04/2025,SKU-30021,T-shirt coton uni,39,OMG-MAR
MTX-000379,15/01/2025,SKU-30026,Chemise popeline,5,OMG-LYO
MTX-000305,01/10/2025,SKU-30029,Casquette coton,7,OMG-LYO
MTX-001128,29/10/2025,SKU-30025,Pull col rond,11,OMG-MAR
MTX-001278,2025-07-06,SKU-30021,T-shirt coton uni,2,OMG-LYO
MTX-001373,08-11-2025,SKU-30023,Veste softshell,24,OMG-LYO
MTX-001357,2025-08-16,SKU-30025,Pull col rond,4,OMG-MAR
MTX-001045,2025-02-06,SKU-30029,Casquette coton,12,OMG-LYO
MTX-001128,29-10-2025,SKU-30021,T-shirt coton uni,17,OMG-MAR
MTX-000352,18-01-2026,SKU-30024,Chaussettes x3,37,OMG-LIL
MTX-001249,23-07-2025,SKU-30028,Doudoune legere,32,OMG-LYO
MTX-001347,31/01/2025,SKU-30027,Short de sport,18,OMG-LYO
MTX-001206,03-01-2026,SKU-30025,Pull col rond,35,OMG-LYO
MTX-000102,25-04-2025,SKU-30025,Pull col rond,13,OMG-MAR
MTX-000639,2025-04-18,SKU-30025,Pull col rond,19,OMG-MAR
MTX-000031,31/03/2025,SKU-30024,Chaussettes x3,17,OMG-MAR
MTX-000970,27-12-2025,SKU-30026,Chemise popeline,5,OMG-LIL
MTX-001115,29/06/2025,SKU-30025,Pull col rond,24,OMG-LIL
MTX-000131,23/04/2026,SKU-30023,Veste softshell,38,OMG-LIL
MTX-000568,08/06/2026,SKU-30021,T-shirt coton uni,1,OMG-LIL
MTX-000915,01-08-2025,SKU-30028,Doudoune legere,35,OMG-LIL
MTX-000178,2025-01-14,SKU-30023,Veste softshell,7,OMG-LIL
MTX-000390,13-04-2026,SKU-30030,Robe ete,10,OMG-MAR
MTX-000008,19-04-2026,SKU-30030,Robe ete,21,OMG-MAR
MTX-000202,20/08/2025,SKU-30026,Chemise popeline,10,OMG-MAR
MTX-000248,01/01/2025,SKU-30026,Chemise popeline,4,OMG-LIL
MTX-000557,07/04/2025,SKU-30023,Veste softshell,33,OMG-LYO
MTX-000130,25/08/2025,SKU-30022,Jean coupe droite,17,OMG-LYO
MTX-000365,12-05-2026,SKU-30028,Doudoune legere,20,OMG-MAR
MTX-000244,2026-05-05,SKU-30026,Chemise popeline,37,OMG-LYO
MTX-001360,27/01/2026,SKU-30028,Doudoune legere,10,OMG-MAR
MTX-000066,2025-04-17,SKU-30027,Short de sport,22,OMG-MAR
MTX-000046,03-06-2026,SKU-30028,Doudoune legere,21,OMG-MAR
MTX-001095,12-07-2025,SKU-30023,Veste softshell,19,OMG-LIL
MTX-000880,2025-05-12,SKU-30029,Casquette coton,35,OMG-MAR
MTX-000743,07/05/2025,SKU-30022,Jean coupe droite,2,OMG-LIL
MTX-000303,2025-08-01,SKU-30027,Short de sport,39,OMG-LYO
MTX-000514,21/05/2025,SKU-30029,Casquette coton,15,OMG-LYO
MTX-001199,12/05/2025,SKU-30023,Veste softshell,24,OMG-LIL
MTX-001239,2026-02-07,SKU-30023,Veste softshell,18,OMG-LYO
MTX-000391,02-11-2025,SKU-30030,Robe ete,33,OMG-MAR
MTX-000504,17-10-2025,SKU-30023,Veste softshell,23,OMG-LYO
MTX-000617,2025-03-17,SKU-30024,Chaussettes x3,7,OMG-MAR
MTX-000385,01/10/2025,SKU-30026,Chemise popeline,24,OMG-LIL
MTX-000466,11/06/2026,SKU-30021,T-shirt coton uni,10,OMG-LIL
MTX-000952,19/05/2025,SKU-30029,Casquette coton,27,OMG-LIL
MTX-000106,19/04/2026,SKU-30030,Robe ete,4,OMG-MAR
MTX-001268,07-04-2025,SKU-30030,Robe ete,4,OMG-MAR
MTX-001160,2026-03-21,SKU-30028,Doudoune legere,28,OMG-LYO
MTX-000299,2026-06-30,SKU-30028,Doudoune legere,9,OMG-LIL
MTX-000150,06/01/2026,SKU-30026,Chemise popeline,19,OMG-LIL
MTX-000520,11/09/2025,SKU-30028,Doudoune legere,30,OMG-MAR
MTX-000077,2026-01-21,SKU-30026,Chemise popeline,15,OMG-MAR
MTX-000419,10-03-2025,SKU-30030,Robe ete,21,OMG-MAR
MTX-000408,2026-06-19,SKU-30026,Chemise popeline,26,OMG-LIL
MTX-000249,2025-11-04,SKU-30023,Veste softshell,11,OMG-MAR
MTX-000149,20/03/2025,SKU-30023,Veste softshell,27,OMG-LIL
MTX-000474,03-08-2025,SKU-30023,Veste softshell,31,OMG-LYO
MTX-000447,2025-11-24,SKU-30021,T-shirt coton uni,39,OMG-LIL
MTX-000040,21-01-2025,SKU-30022,Jean coupe droite,28,OMG-MAR
MTX-000687,2026-06-02,SKU-30023,Veste softshell,35,OMG-LIL
MTX-001214,25-09-2025,SKU-30024,Chaussettes x3,40,OMG-LIL
MTX-000615,2025-09-08,SKU-30028,Doudoune legere,24,OMG-LYO
MTX-001141,12/09/2025,SKU-30029,Casquette coton,39,OMG-MAR
MTX-001160,21/03/2026,SKU-30025,Pull col rond,36,OMG-LYO
MTX-001004,2025-09-20,SKU-30028,Doudoune legere,36,OMG-MAR
MTX-000354,2025-07-04,SKU-30027,Short de sport,14,OMG-LIL
MTX-000260,05/01/2026,SKU-30021,T-shirt coton uni,33,OMG-LYO
MTX-000174,14-07-2026,SKU-30024,Chaussettes x3,22,OMG-MAR
MTX-000584,28-04-2025,SKU-30029,Casquette coton,19,OMG-MAR
MTX-000579,03/07/2026,SKU-30028,Doudoune legere,8,OMG-LYO
MTX-001125,25/11/2025,SKU-30025,Pull col rond,35,OMG-LYO
MTX-001198,18/05/2025,SKU-30021,T-shirt coton uni,28,OMG-LIL
MTX-001192,07-07-2026,SKU-30023,Veste softshell,22,OMG-LIL
MTX-001252,02/05/2025,SKU-30024,Chaussettes x3,24,OMG-LIL
MTX-001059,2025-01-16,SKU-30027,Short de sport,29,OMG-LYO
MTX-000817,07/02/2026,SKU-30021,T-shirt coton uni,10,OMG-LIL
MTX-000019,2026-06-09,SKU-30030,Robe ete,6,OMG-LYO
MTX-000178,14-01-2025,SKU-30024,Chaussettes x3,40,OMG-LIL
MTX-000994,2025-02-05,SKU-30023,Veste softshell,37,OMG-LIL
MTX-001119,04/05/2025,SKU-30029,Casquette coton,35,OMG-MAR
MTX-001114,13/07/2026,SKU-30028,Doudoune legere,1,OMG-LIL
MTX-001050,24/02/2025,SKU-30023,Veste softshell,32,OMG-LYO
MTX-000379,15-01-2025,SKU-30030,Robe ete,16,OMG-LYO
MTX-000158,27-04-2025,SKU-30028,Doudoune legere,6,OMG-MAR
MTX-000079,31/07/2025,SKU-30026,Chemise popeline,8,OMG-MAR
MTX-001096,2026-03-08,SKU-30025,Pull col rond,30,OMG-LIL
MTX-000399,2025-09-03,SKU-30029,Casquette coton,2,OMG-LYO
MTX-000897,19/01/2025,SKU-30028,Doudoune legere,25,OMG-MAR
MTX-000252,21/07/2026,SKU-30021,T-shirt coton uni,17,OMG-MAR
MTX-000566,2025-02-05,SKU-30030,Robe ete,6,OMG-LYO
MTX-000333,18/01/2025,SKU-30023,Veste softshell,9,OMG-LIL
MTX-000250,16-05-2025,SKU-30023,Veste softshell,25,OMG-LIL
MTX-000527,27/07/2025,SKU-30030,Robe ete,2,OMG-LIL
MTX-000440,20/04/2026,SKU-30021,T-shirt coton uni,24,OMG-LYO
MTX-001249,2025-07-23,SKU-30023,Veste softshell,36,OMG-LYO
MTX-000118,14-04-2025,SKU-30021,T-shirt coton uni,19,OMG-LIL
MTX-000444,25-03-2026,SKU-30027,Short de sport,35,OMG-LYO
MTX-001276,27-02-2026,SKU-30026,Chemise popeline,27,OMG-LIL
MTX-000448,25/05/2026,SKU-30023,Veste softshell,33,OMG-LYO
MTX-000044,23/09/2025,SKU-30027,Short de sport,24,OMG-MAR
MTX-000874,29-10-2025,SKU-30029,Casquette coton,16,OMG-MAR
MTX-001098,04/11/2025,SKU-30021,T-shirt coton uni,19,OMG-LIL
MTX-000968,2025-07-10,SKU-30028,Doudoune legere,12,OMG-LYO
MTX-001235,17/06/2025,SKU-30023,Veste softshell,40,OMG-MAR
MTX-000557,2025-04-07,SKU-30025,Pull col rond,12,OMG-LYO
MTX-000465,15-01-2026,SKU-30026,Chemise popeline,3,OMG-LYO
MTX-000626,30-12-2025,SKU-30026,Chemise popeline,40,OMG-MAR
MTX-000576,2026-07-25,SKU-30024,Chaussettes x3,19,OMG-MAR
MTX-000040,21-01-2025,SKU-30023,Veste softshell,4,OMG-MAR
MTX-000859,2026-07-15,SKU-30030,Robe ete,34,OMG-LIL
MTX-000224,13-06-2026,SKU-30027,Short de sport,16,OMG-MAR
MTX-000083,18/06/2025,SKU-30026,Chemise popeline,35,OMG-LIL
MTX-001119,2025-05-04,SKU-30023,Veste softshell,14,OMG-MAR
MTX-000953,26/01/2026,SKU-30023,Veste softshell,12,OMG-LIL
MTX-000258,2025-10-29,SKU-30026,Chemise popeline,12,OMG-MAR
MTX-001150,20/03/2026,SKU-30026,Chemise popeline,15,OMG-MAR
MTX-000260,05/01/2026,SKU-30030,Robe ete,40,OMG-LYO
MTX-001258,06-03-2026,SKU-30021,T-shirt coton uni,2,OMG-LIL
MTX-000963,2025-04-10,SKU-30027,Short de sport,17,OMG-MAR
MTX-000649,19-11-2025,SKU-30024,Chaussettes x3,11,OMG-LYO
MTX-000598,12/03/2026,SKU-30030,Robe ete,4,OMG-LIL
MTX-000981,03/08/2025,SKU-30022,Jean coupe droite,21,OMG-LIL
MTX-001356,2026-05-18,SKU-30029,Casquette coton,32,OMG-LIL
MTX-000943,20/09/2025,SKU-30025,Pull col rond,6,OMG-LYO
MTX-000952,19-05-2025,SKU-30027,Short de sport,39,OMG-LIL
MTX-000604,20-02-2025,SKU-30025,Pull col rond,36,OMG-LIL
MTX-000940,08/04/2026,SKU-30029,Casquette coton,26,OMG-LYO
MTX-000937,25/11/2025,SKU-30027,Short de sport,17,OMG-LIL
MTX-000131,2026-04-23,SKU-30030,Robe ete,22,OMG-LIL
MTX-001277,18-06-2025,SKU-30023,Veste softshell,13,OMG-LYO
MTX-001192,07/07/2026,SKU-30026,Chemise popeline,22,OMG-LIL
MTX-001056,12/08/2025,SKU-30029,Casquette coton,21,OMG-MAR
MTX-001006,2025-08-18,SKU-30025,Pull col rond,29,OMG-MAR
MTX-000305,01/10/2025,SKU-30027,Short de sport,1,OMG-LYO
MTX-000448,25/05/2026,SKU-30022,Jean coupe droite,18,OMG-LYO
MTX-000151,16-07-2026,SKU-30023,Veste softshell,27,OMG-MAR
MTX-000613,2025-06-12,SKU-30029,Casquette coton,13,OMG-MAR
MTX-000565,20/01/2026,SKU-30022,Jean coupe droite,31,OMG-LYO
MTX-000314,07/01/2025,SKU-30030,Robe ete,40,OMG-MAR
MTX-001326,27-07-2026,SKU-30024,Chaussettes x3,11,OMG-LIL
MTX-000653,18-05-2025,SKU-30028,Doudoune legere,23,OMG-LYO
MTX-000504,2025-10-17,SKU-30023,Veste softshell,38,OMG-LYO
MTX-000594,02-04-2025,SKU-30023,Veste softshell,10,OMG-LYO
MTX-001036,21-05-2025,SKU-30027,Short de sport,37,OMG-LYO
MTX-000740,2026-07-21,SKU-30027,Short de sport,39,OMG-LIL
MTX-000259,2025-03-08,SKU-30027,Short de sport,38,OMG-LYO
MTX-000588,2025-01-19,SKU-30026,Chemise popeline,17,OMG-LYO
MTX-000270,03/02/2026,SKU-30028,Doudoune legere,9,OMG-LIL
MTX-000040,21-01-2025,SKU-30023,Veste softshell,30,OMG-MAR
MTX-000332,02-04-2025,SKU-30028,Doudoune legere,31,OMG-MAR
MTX-000342,20/09/2025,SKU-30021,T-shirt coton uni,11,OMG-LIL
MTX-001047,26-02-2025,SKU-30021,T-shirt coton uni,25,OMG-LIL
MTX-000259,08-03-2025,SKU-30029,Casquette coton,27,OMG-LYO
MTX-001119,04/05/2025,SKU-30021,T-shirt coton uni,34,OMG-MAR
MTX-000349,10-06-2026,SKU-30029,Casquette coton,35,OMG-LYO
MTX-000447,2025-11-24,SKU-30025,Pull col rond,11,OMG-LIL
MTX-000695,21-03-2025,SKU-30027,Short de sport,28,OMG-MAR
MTX-000962,21/01/2025,SKU-30023,Veste softshell,37,OMG-LIL
MTX-001216,2025-04-14,SKU-30021,T-shirt coton uni,14,OMG-LIL
MTX-000553,2026-03-27,SKU-30026,Chemise popeline,30,OMG-LYO
MTX-000491,16-11-2025,SKU-30028,Doudoune legere,38,OMG-LIL
MTX-000423,22-02-2026,SKU-30027,Short de sport,4,OMG-LIL
MTX-000569,2026-06-21,SKU-30024,Chaussettes x3,8,OMG-MAR
MTX-000130,25/08/2025,SKU-30024,Chaussettes x3,23,OMG-LYO
MTX-001326,27/07/2026,SKU-30024,Chaussettes x3,2,OMG-LIL
MTX-000650,2025-06-18,SKU-30029,Casquette coton,8,OMG-MAR
MTX-000732,2025-01-17,SKU-30021,T-shirt coton uni,37,OMG-MAR
MTX-000135,31/08/2025,SKU-30028,Doudoune legere,32,OMG-MAR
MTX-000117,07/03/2026,SKU-30026,Chemise popeline,17,OMG-MAR
MTX-000314,07/01/2025,SKU-30028,Doudoune legere,16,OMG-MAR
MTX-000032,2026-07-14,SKU-30023,Veste softshell,13,OMG-LYO
MTX-000117,07-03-2026,SKU-30022,Jean coupe droite,23,OMG-MAR
MTX-000317,2025-01-19,SKU-30021,T-shirt coton uni,6,OMG-LYO
MTX-001377,17/03/2025,SKU-30029,Casquette coton,7,OMG-LYO
MTX-000899,2025-11-05,SKU-30025,Pull col rond,22,OMG-LYO
MTX-000448,2026-05-25,SKU-30025,Pull col rond,9,OMG-LYO
MTX-000095,17/06/2025,SKU-30026,Chemise popeline,20,OMG-MAR
MTX-000385,01/10/2025,SKU-30024,Chaussettes x3,37,OMG-LIL
MTX-000558,2026-02-13,SKU-30027,Short de sport,5,OMG-LYO
MTX-001160,2026-03-21,SKU-30028,Doudoune legere,28,OMG-LYO
MTX-000430,10/06/2025,SKU-30023,Veste softshell,5,OMG-LYO
