id_commande_client,date_reception,code_article,libelle_produit,quantite_commandee,chaine_froid_requise,site_livraison
FM-000253,22/10/2025,SKU-20012,Lait demi-ecreme 1L,3,OUI,OMG-LIL
FM-000765,10-12-2025,SKU-20018,Pizza surgelee,3,OUI,OMG-LIL
FM-001396,02/02/2025,SKU-20011,Yaourt nature 4x125g,25,OUI,OMG-LYO
FM-000845,2026-02-20,SKU-20020,Compote pomme 4x100g,4,OUI,OMG-LYO
FM-001288,03/07/2025,SKU-20018,Pizza surgelee,35,OUI,OMG-LYO
FM-000076,2025-08-18,SKU-20011,Yaourt nature 4x125g,26,OUI,OMG-MAR
FM-000719,24/04/2026,SKU-20013,Filet de poulet 500g,26,OUI,OMG-LYO
FM-000142,2026-06-08,SKU-20011,Yaourt nature 4x125g,39,OUI,OMG-LIL
FM-001009,2025-11-24,SKU-20012,Lait demi-ecreme 1L,17,OUI,OMG-MAR
FM-001351,27/11/2025,SKU-20015,Jus d'orange 1L,32,OUI,OMG-LIL
FM-001102,2025-02-02,SKU-20013,Filet de poulet 500g,9,OUI,OMG-LYO
FM-001378,31/05/2026,SKU-20020,Compote pomme 4x100g,26,OUI,OMG-MAR
FM-000460,22/04/2026,SKU-20012,Lait demi-ecreme 1L,37,OUI,OMG-LYO
FM-001184,2025-08-15,SKU-20012,Lait demi-ecreme 1L,30,OUI,OMG-MAR
FM-001070,2026-03-13,SKU-20015,Jus d'orange 1L,16,OUI,OMG-LYO
FM-000468,2026-04-24,SKU-20017,Pommes Gala 1kg,21,OUI,OMG-MAR
FM-000100,2025-11-11,SKU-20018,Pizza surgelee,24,OUI,OMG-LYO
FM-001041,14/04/2026,SKU-20018,Pizza surgelee,8,OUI,OMG-LYO
FM-000397,15/09/2025,SKU-20014,Epinards surgeles 1kg,14,OUI,OMG-LYO
FM-000453,24-10-2025,SKU-20015,Jus d'orange 1L,22,OUI,OMG-LIL
FM-000672,13/04/2026,SKU-20011,Yaourt nature 4x125g,8,OUI,OMG-LYO
FM-000039,2025-11-22,SKU-20015,Jus d'orange 1L,28,OUI,OMG-LIL
FM-000353,18/06/2026,SKU-20018,Pizza surgelee,21,OUI,OMG-LIL
FM-000325,04/01/2025,SKU-20017,Pommes Gala 1kg,18,OUI,OMG-LYO
FM-000674,2025-11-28,SKU-20019,Beurre doux 250g,35,OUI,OMG-LYO
FM-001366,03-10-2025,SKU-20013,Filet de poulet 500g,32,OUI,OMG-LYO
FM-000600,2026-04-03,SKU-20016,Fromage rape 200g,28,OUI,OMG-LIL
FM-001244,2025-01-21,SKU-20011,Yaourt nature 4x125g,17,OUI,OMG-LIL
FM-001071,2025-10-22,SKU-20020,Compote pomme 4x100g,24,OUI,OMG-LIL
FM-001039,2025-05-14,SKU-20016,Fromage rape 200g,37,OUI,OMG-LYO
FM-001003,26-05-2025,SKU-20019,Beurre doux 250g,29,OUI,OMG-LIL
FM-000550,15-10-2025,SKU-20014,Epinards surgeles 1kg,25,OUI,OMG-LYO
FM-001292,17-02-2025,SKU-20014,Epinards surgeles 1kg,26,OUI,OMG-MAR
FM-001203,2025-09-30,SKU-20019,Beurre doux 250g,26,OUI,OMG-MAR
FM-000100,11/11/2025,SKU-20012,Lait demi-ecreme 1L,28,OUI,OMG-LYO
FM-000666,04-03-2025,SKU-20018,Pizza surgelee,28,OUI,OMG-LIL
FM-000481,27-03-2026,SKU-20011,Yaourt nature 4x125g,3,OUI,OMG-LIL
FM-000524,2026-06-10,SKU-20011,Yaourt nature 4x125g,38,OUI,OMG-MAR
FM-001261,23-02-2026,SKU-20017,Pommes Gala 1kg,34,OUI,OMG-LYO
FM-001003,26-05-2025,SKU-20012,Lait demi-ecreme 1L,18,OUI,OMG-LIL
FM-000119,2025-11-06,SKU-20011,Yaourt nature 4x125g,13,OUI,OMG-MAR
FM-000721,2025-12-07,SKU-20013,Filet de poulet 500g,9,OUI,OMG-LYO
FM-000681,2025-09-24,SKU-20016,Fromage rape 200g,26,OUI,OMG-MAR
FM-000340,2025-05-01,SKU-20015,Jus d'orange 1L,17,OUI,OMG-LYO
FM-000029,23-06-2025,SKU-20017,Pommes Gala 1kg,22,OUI,OMG-LYO
FM-000530,21-08-2025,SKU-20017,Pommes Gala 1kg,26,OUI,OMG-MAR
FM-001070,2026-03-13,SKU-20011,Yaourt nature 4x125g,9,OUI,OMG-LYO
FM-000192,30-03-2025,SKU-20013,Filet de poulet 500g,36,OUI,OMG-LIL
FM-000462,28-06-2026,SKU-20019,Beurre doux 250g,32,OUI,OMG-LYO
FM-000480,2026-01-15,SKU-20020,Compote pomme 4x100g,31,OUI,OMG-MAR
FM-000846,2025-01-24,SKU-20016,Fromage rape 200g,4,OUI,OMG-MAR
FM-000104,14/02/2025,SKU-20012,Lait demi-ecreme 1L,6,OUI,OMG-LYO
FM-000636,07-02-2026,SKU-20016,Fromage rape 200g,28,OUI,OMG-LIL
FM-000410,10/05/2025,SKU-20019,Beurre doux 250g,8,OUI,OMG-LIL
FM-000886,23-10-2025,SKU-20016,Fromage rape 200g,31,OUI,OMG-MAR
FM-000120,07-11-2025,SKU-20016,Fromage rape 200g,34,OUI,OMG-LIL
FM-001337,21-02-2026,SKU-20018,Pizza surgelee,20,OUI,OMG-LYO
FM-001174,28-11-2025,SKU-20014,Epinards surgeles 1kg,1,OUI,OMG-LYO
FM-000335,2025-04-21,SKU-20015,Jus d'orange 1L,11,OUI,OMG-MAR
FM-001251,17-01-2025,SKU-20019,Beurre doux 250g,28,OUI,OMG-LYO
FM-001295,2025-01-31,SKU-20017,Pommes Gala 1kg,40,OUI,OMG-MAR
FM-000516,2025-12-11,SKU-20014,Epinards surgeles 1kg,5,OUI,OMG-MAR
FM-000460,22-04-2026,SKU-20015,Jus d'orange 1L,7,OUI,OMG-LYO
FM-001233,21-08-2025,SKU-20013,Filet de poulet 500g,5,OUI,OMG-MAR
FM-000651,26/02/2025,SKU-20011,Yaourt nature 4x125g,17,OUI,OMG-LYO
FM-001127,06/03/2026,SKU-20014,Epinards surgeles 1kg,40,OUI,OMG-LIL
FM-000619,2025-02-20,SKU-20018,Pizza surgelee,4,OUI,OMG-MAR
FM-000765,2025-12-10,SKU-20012,Lait demi-ecreme 1L,37,OUI,OMG-LIL
FM-000960,28/03/2025,SKU-20017,Pommes Gala 1kg,22,OUI,OMG-MAR
FM-000633,30/01/2026,SKU-20014,Epinards surgeles 1kg,6,OUI,OMG-LYO
FM-001261,23/02/2026,SKU-20018,Pizza surgelee,22,OUI,OMG-LYO
FM-000191,06/11/2025,SKU-20014,Epinards surgeles 1kg,21,OUI,OMG-LYO
FM-000020,2026-06-05,SKU-20013,Filet de poulet 500g,20,OUI,OMG-LYO
FM-000726,24-04-2025,SKU-20015,Jus d'orange 1L,15,OUI,OMG-LYO
FM-000128,21-03-2026,SKU-20018,Pizza surgelee,34,OUI,OMG-MAR
FM-000446,06/02/2026,SKU-20012,Lait demi-ecreme 1L,16,OUI,OMG-LIL
FM-001087,2025-05-03,SKU-20013,Filet de poulet 500g,32,OUI,OMG-LIL
FM-000914,13-02-2026,SKU-20015,Jus d'orange 1L,3,OUI,OMG-LIL
FM-000061,31/03/2026,SKU-20016,Fromage rape 200g,27,OUI,OMG-LYO
FM-000665,08/05/2025,SKU-20020,Compote pomme 4x100g,16,OUI,OMG-LIL
FM-000126,21-04-2026,SKU-20018,Pizza surgelee,12,OUI,OMG-LYO
FM-000873,10-05-2025,SKU-20019,Beurre doux 250g,31,OUI,OMG-LYO
FM-000912,04/09/2025,SKU-20017,Pommes Gala 1kg,36,OUI,OMG-MAR
FM-001102,2025-02-02,SKU-20019,Beurre doux 250g,21,OUI,OMG-LYO
FM-000058,2025-12-31,SKU-20015,Jus d'orange 1L,,OUI,OMG-LYO
FM-001153,2025-06-15,SKU-20017,Pommes Gala 1kg,29,OUI,OMG-LIL
FM-000093,13-10-2025,SKU-20020,Compote pomme 4x100g,40,OUI,OMG-MAR
FM-000717,13-05-2025,SKU-20016,Fromage rape 200g,16,OUI,OMG-LIL
FM-001388,15/07/2025,SKU-20018,Pizza surgelee,38,OUI,OMG-MAR
FM-001041,14/04/2026,SKU-20019,Beurre doux 250g,5,OUI,OMG-LYO
FM-000410,10-05-2025,SKU-20018,Pizza surgelee,6,OUI,OMG-LIL
FM-000050,23-08-2025,SKU-20013,Filet de poulet 500g,32,OUI,OMG-LYO
FM-000583,2025-11-08,SKU-20017,Pommes Gala 1kg,3,OUI,OMG-LIL
FM-000690,2026-06-12,SKU-20019,Beurre doux 250g,39,OUI,OMG-LIL
FM-000092,09-02-2025,SKU-20012,Lait demi-ecreme 1L,37,OUI,OMG-MAR
FM-000494,2025-10-15,SKU-20019,Beurre doux 250g,20,OUI,OMG-LIL
FM-001294,2026-03-19,SKU-20019,Beurre doux 250g,12,OUI,OMG-LIL
FM-001322,2026-04-26,SKU-20017,Pommes Gala 1kg,36,OUI,OMG-LYO
FM-001147,30-03-2026,SKU-20018,Pizza surgelee,39,OUI,OMG-MAR
FM-000960,28-03-2025,SKU-20013,Filet de poulet 500g,16,OUI,OMG-MAR
FM-000398,16/02/2025,SKU-20012,Lait demi-ecreme 1L,2,OUI,OMG-LYO
FM-000543,24/06/2026,SKU-20013,Filet de poulet 500g,29,OUI,OMG-LIL
FM-000921,05/03/2025,SKU-20015,Jus d'orange 1L,13,OUI,OMG-LIL
FM-000214,08/09/2025,SKU-20013,Filet de poulet 500g,37,OUI,OMG-LIL
FM-000401,2026-05-26,SKU-20014,Epinards surgeles 1kg,37,OUI,OMG-LIL
FM-001009,24-11-2025,SKU-20016,Fromage rape 200g,9,OUI,OMG-MAR
FM-000581,2025-05-14,SKU-20014,Epinards surgeles 1kg,10,OUI,OMG-MAR
FM-000155,12-07-2025,SKU-20015,Jus d'orange 1L,22,OUI,OMG-LIL
FM-001334,2026-04-18,SKU-20017,Pommes Gala 1kg,4,OUI,OMG-LYO
FM-001147,30/03/2026,SKU-20014,Epinards surgeles 1kg,18,OUI,OMG-MAR
FM-000067,2026-01-12,SKU-20020,Compote pomme 4x100g,25,OUI,OMG-MAR
FM-000175,14/05/2026,SKU-20013,Filet de poulet 500g,9,OUI,OMG-MAR
FM-001292,17-02-2025,SKU-20019,Beurre doux 250g,10,OUI,OMG-MAR
FM-000341,08-03-2026,SKU-20020,Compote pomme 4x100g,23,OUI,OMG-MAR
FM-000721,07/12/2025,SKU-20016,Fromage rape 200g,28,OUI,OMG-LYO
FM-001342,2025-05-06,SKU-20011,Yaourt nature 4x125g,29,OUI,OMG-MAR
FM-000198,26/03/2025,SKU-20013,Filet de poulet 500g,36,OUI,OMG-MAR
FM-000201,2026-01-16,SKU-20020,Compote pomme 4x100g,8,OUI,OMG-MAR
FM-000401,26/05/2026,SKU-20013,Filet de poulet 500g,28,OUI,OMG-LIL
FM-000191,2025-11-06,SKU-20018,Pizza surgelee,37,OUI,OMG-LYO
FM-001005,2025-10-11,SKU-20019,Beurre doux 250g,9,OUI,OMG-LYO
FM-001299,22-01-2026,SKU-20019,Beurre doux 250g,37,OUI,OMG-MAR
FM-000486,2025-03-28,SKU-20012,Lait demi-ecreme 1L,36,OUI,OMG-LYO
FM-000400,01-10-2025,SKU-20015,Jus d'orange 1L,4,OUI,OMG-MAR
FM-000067,2026-01-12,SKU-20019,Beurre doux 250g,25,OUI,OMG-MAR
FM-001021,2026-05-09,SKU-20019,Beurre doux 250g,21,OUI,OMG-MAR
FM-000997,07/09/2025,SKU-20016,Fromage rape 200g,2,OUI,OMG-MAR
FM-000929,09-07-2025,SKU-20018,Pizza surgelee,26,OUI,OMG-LIL
FM-000398,2025-02-16,SKU-20015,Jus d'orange 1L,24,OUI,OMG-LYO
FM-000741,2025-11-09,SKU-20017,Pommes Gala 1kg,25,OUI,OMG-MAR
FM-001127,06/03/2026,SKU-20017,Pommes Gala 1kg,7,OUI,OMG-LIL
FM-001093,2026-07-20,SKU-20018,Pizza surgelee,16,OUI,OMG-MAR
FM-000313,15-06-2025,SKU-20019,Beurre doux 250g,31,OUI,OMG-LYO
FM-000473,2026-03-10,SKU-20019,Beurre doux 250g,7,OUI,OMG-LYO
FM-000812,2025-02-21,SKU-20017,Pommes Gala 1kg,7,OUI,OMG-LYO
FM-000729,08/10/2025,SKU-20020,Compote pomme 4x100g,25,OUI,OMG-MAR
FM-000262,29/06/2026,SKU-20020,Compote pomme 4x100g,38,OUI,OMG-LYO
FM-001315,11-06-2025,SKU-20019,Beurre doux 250g,14,OUI,OMG-LYO
FM-000194,29/01/2026,SKU-20016,Fromage rape 200g,35,OUI,OMG-MAR
FM-000936,08-05-2025,SKU-20011,Yaourt nature 4x125g,11,OUI,OMG-LYO
FM-000658,2025-05-15,SKU-20011,Yaourt nature 4x125g,25,OUI,OMG-LIL
FM-000350,07-03-2026,SKU-20014,Epinards surgeles 1kg,37,OUI,OMG-LYO
FM-001184,2025-08-15,SKU-20013,Filet de poulet 500g,33,OUI,OMG-MAR
FM-000777,01/10/2025,SKU-20017,Pommes Gala 1kg,24,OUI,OMG-LIL
FM-000788,08-05-2026,SKU-20013,Filet de poulet 500g,20,OUI,OMG-LIL
FM-000883,29/01/2026,SKU-20016,Fromage rape 200g,3,OUI,OMG-LYO
FM-001075,2025-07-31,SKU-20013,Filet de poulet 500g,40,OUI,OMG-LYO
FM-000623,09-01-2026,SKU-20013,Filet de poulet 500g,3,OUI,OMG-LIL
FM-000674,2025-11-28,SKU-20017,Pommes Gala 1kg,38,OUI,OMG-LYO
FM-000080,03-11-2025,SKU-20014,Epinards surgeles 1kg,31,OUI,OMG-LYO
FM-000587,18/07/2026,SKU-20015,Jus d'orange 1L,14,OUI,OMG-LIL
FM-000148,26/03/2025,SKU-20011,Yaourt nature 4x125g,34,OUI,OMG-LYO
FM-000326,26-03-2025,SKU-20013,Filet de poulet 500g,35,OUI,OMG-MAR
FM-000315,17/07/2026,SKU-20016,Fromage rape 200g,33,OUI,OMG-MAR
FM-000281,30-11-2025,SKU-20014,Epinards surgeles 1kg,24,OUI,OMG-MAR
FM-000791,21/01/2026,SKU-20012,Lait demi-ecreme 1L,38,OUI,OMG-MAR
FM-000111,07-08-2025,SKU-20013,Filet de poulet 500g,13,OUI,OMG-LIL
FM-000923,2025-10-10,SKU-20019,Beurre doux 250g,37,OUI,OMG-MAR
FM-000132,13/06/2025,SKU-20015,Jus d'orange 1L,20,OUI,OMG-MAR
FM-001290,21-03-2026,SKU-20014,Epinards surgeles 1kg,28,OUI,OMG-LYO
FM-000564,12/04/2026,SKU-20017,Pommes Gala 1kg,6,OUI,OMG-MAR
FM-000377,30/05/2025,SKU-20015,Jus d'orange 1L,3,OUI,OMG-MAR
FM-000168,22/02/2026,SKU-20018,Pizza surgelee,4,OUI,OMG-LYO
FM-000293,2025-02-05,SKU-20011,Yaourt nature 4x125g,34,OUI,OMG-LIL
FM-000614,27/06/2025,SKU-20019,Beurre doux 250g,40,OUI,OMG-MAR
FM-001094,24/04/2025,SKU-20014,Epinards surgeles 1kg,13,OUI,OMG-MAR
FM-000128,2026-03-21,SKU-20017,Pommes Gala 1kg,27,OUI,OMG-MAR
FM-000665,08-05-2025,SKU-20017,Pommes Gala 1kg,12,OUI,OMG-LIL
FM-000602,12/06/2026,SKU-20013,Filet de poulet 500g,27,OUI,OMG-LIL
FM-000507,2025-05-07,SKU-20014,Epinards surgeles 1kg,36,OUI,OMG-LIL
FM-001398,14-05-2025,SKU-20016,Fromage rape 200g,17,OUI,OMG-LIL
FM-000924,27/01/2026,SKU-20014,Epinards surgeles 1kg,30,OUI,OMG-MAR
FM-000564,12-04-2026,SKU-20013,Filet de poulet 500g,28,OUI,OMG-MAR
FM-000802,2026-06-19,SKU-20018,Pizza surgelee,8,OUI,OMG-LIL
FM-000353,18/06/2026,SKU-20012,Lait demi-ecreme 1L,34,OUI,OMG-LIL
FM-000931,09/05/2025,SKU-20014,Epinards surgeles 1kg,12,OUI,OMG-LIL
FM-001010,22/04/2025,SKU-20014,Epinards surgeles 1kg,26,OUI,OMG-LYO
FM-000368,23/02/2025,SKU-20020,Compote pomme 4x100g,29,OUI,OMG-LYO
FM-000055,2026-04-07,SKU-20014,Epinards surgeles 1kg,19,OUI,OMG-MAR
FM-000157,2026-03-03,SKU-20019,Beurre doux 250g,29,OUI,OMG-MAR
FM-001147,30/03/2026,SKU-20012,Lait demi-ecreme 1L,31,OUI,OMG-MAR
FM-000067,12/01/2026,SKU-20014,Epinards surgeles 1kg,27,OUI,OMG-MAR
FM-000266,11/12/2025,SKU-20020,Compote pomme 4x100g,6,OUI,OMG-MAR
FM-000421,17-09-2025,SKU-20015,Jus d'orange 1L,17,OUI,OMG-LYO
FM-000768,20/02/2026,SKU-20014,Epinards surgeles 1kg,26,OUI,OMG-MAR
FM-000377,30-05-2025,SKU-20019,Beurre doux 250g,19,OUI,OMG-MAR
FM-000340,01/05/2025,SKU-20020,Compote pomme 4x100g,18,OUI,OMG-LYO
FM-001062,2026-07-07,SKU-20016,Fromage rape 200g,14,OUI,OMG-LIL
FM-001362,2026-02-23,SKU-20015,Jus d'orange 1L,35,OUI,OMG-LYO
FM-001049,2026-06-21,SKU-20017,Pommes Gala 1kg,18,OUI,OMG-LIL
FM-000655,10/04/2026,SKU-20014,Epinards surgeles 1kg,6,OUI,OMG-LYO
FM-000791,21-01-2026,SKU-20013,Filet de poulet 500g,13,OUI,OMG-MAR
FM-001089,2025-08-30,SKU-20019,Beurre doux 250g,19,OUI,OMG-MAR
FM-000729,08-10-2025,SKU-20016,Fromage rape 200g,16,OUI,OMG-MAR
FM-000157,2026-03-03,SKU-20014,Epinards surgeles 1kg,16,OUI,OMG-MAR
FM-000453,2025-10-24,SKU-20017,Pommes Gala 1kg,40,OUI,OMG-LIL
FM-000253,22/10/2025,SKU-20020,Compote pomme 4x100g,15,OUI,OMG-LIL
FM-001156,2025-07-13,SKU-20018,Pizza surgelee,2,OUI,OMG-LIL
FM-001188,16/05/2026,SKU-20011,Yaourt nature 4x125g,24,OUI,OMG-LYO
FM-000494,15/10/2025,SKU-20011,Yaourt nature 4x125g,21,OUI,OMG-LIL
FM-000147,24-04-2025,SKU-20018,Pizza surgelee,17,OUI,OMG-LIL
FM-001282,15-02-2025,SKU-20013,Filet de poulet 500g,26,OUI,OMG-LYO
FM-000107,15/07/2025,SKU-20015,Jus d'orange 1L,26,OUI,OMG-LIL
FM-001027,24/06/2026,SKU-20014,Epinards surgeles 1kg,29,OUI,OMG-LYO
FM-000446,2026-02-06,SKU-20018,Pizza surgelee,5,OUI,OMG-LIL
FM-000155,12-07-2025,SKU-20014,Epinards surgeles 1kg,29,OUI,OMG-LIL
FM-001111,17/10/2025,SKU-20011,Yaourt nature 4x125g,8,OUI,OMG-MAR
FM-000507,07-05-2025,SKU-20019,Beurre doux 250g,15,OUI,OMG-LIL
FM-001283,06/05/2025,SKU-20011,Yaourt nature 4x125g,26,OUI,OMG-LYO
FM-001353,25/01/2025,SKU-20017,Pommes Gala 1kg,27,OUI,OMG-LYO
