id,client,entrepot,categorie_produit,date_expedition,poids_kg,delai_livraison_jours,cout_transport_eur,statut
33,FreshMarket,Lyon,Alimentaire,2022-09-22,39.76,1,58.15,Livree
34,NordDrive,Lyon,Pieces auto,2023-05-03,21.87,2,61.42,Livree
35,NordDrive,Lille,Pieces auto,2022-02-19,21.15,1,17.01,Livree
36,FreshMarket,Lyon,Alimentaire,2025-11-05,5.2,3,25.5,Livree
37,MedioTex,Marseille,Textile,2022-09-17,7.17,2,48.36,Livree
38,MedioTex,Lyon,Textile,2025-05-18,14.64,1,51.64,Livree
39,FreshMarket,Lille,Alimentaire,2026-02-12,20.41,2,19.79,Livree
40,MedioTex,Lille,Textile,2024-12-11,37.85,2,76.48,Livree
41,NordDrive,Lyon,Pieces auto,2024-03-01,6.07,2,71.53,Livree
42,MedioTex,Marseille,Textile,2024-01-29,1.73,2,53.16,Livree
43,FreshMarket,Marseille,Alimentaire,2024-12-11,34.3,3,34.62,Livree
44,MedioTex,Lyon,Textile,2024-04-25,35.53,1,8.84,Livree
45,MedioTex,Marseille,Textile,2025-11-27,6.75,2,15.03,Livree
46,MedioTex,Marseille,Textile,2022-10-27,37.39,1,11.84,Livree
47,FreshMarket,Lyon,Alimentaire,2022-08-11,17.01,4,17.83,Livree
48,FreshMarket,Lyon,Alimentaire,2023-04-08,29.66,3,9.29,Livree
49,NordDrive,Lyon,Pieces auto,2022-04-08,33.9,2,61.51,Livree
50,NordDrive,Marseille,Pieces auto,2025-07-01,10.84,1,25.71,Livree
51,MedioTex,Marseille,Textile,2022-09-25,27.09,1,85.85,Livree
52,MedioTex,Marseille,Textile,2024-08-09,8.45,1,58.51,Livree
53,FreshMarket,Lyon,Alimentaire,2022-09-09,41.12,2,71.67,Livree
54,FreshMarket,Lyon,Alimentaire,2024-04-15,1.44,4,57.74,Livree
55,MedioTex,Marseille,Textile,2024-09-23,34.46,3,10.17,Retardee
56,MedioTex,Lyon,Textile,2024-04-02,11.83,3,72.05,Livree
57,MedioTex,Lille,Textile,2023-03-17,8.54,1,37.75,Livree
58,NordDrive,Lyon,Pieces auto,2025-09-26,5.41,1,43.05,Livree
59,MedioTex,Marseille,Textile,2025-07-14,4.97,2,27.44,Livree
60,FreshMarket,Lille,Alimentaire,2023-11-11,22.35,1,81.34,Livree
61,NordDrive,Marseille,Pieces auto,2026-06-19,6.46,1,85.18,Livree
62,MedioTex,Lille,Textile,2025-03-29,35.48,2,83.88,Retardee
63,NordDrive,Lille,Pieces auto,2025-08-11,3.41,2,32.84,Livree
64,NordDrive,Marseille,Pieces auto,2024-07-15,16.98,3,24.69,Livree
65,NordDrive,Lyon,Pieces auto,2025-05-17,11.93,4,30.3,Livree
66,FreshMarket,Lille,Alimentaire,2024-08-31,17.56,2,40.03,Livree
67,FreshMarket,Lyon,Alimentaire,2023-11-04,12.67,1,82.47,Livree
68,MedioTex,Marseille,Textile,2023-12-09,37.96,3,40.54,Livree
69,MedioTex,Lyon,Textile,2023-03-27,29.04,2,82.26,Livree
70,NordDrive,Lille,Pieces auto,2024-10-21,2.16,1,54.39,Livree
71,FreshMarket,Marseille,Alimentaire,2023-03-27,7.23,2,43.34,Livree
72,MedioTex,Lyon,Textile,2022-03-05,31.4,2,14.71,Livree
73,FreshMarket,Marseille,Alimentaire,2022-06-15,32.86,3,63.52,Livree
74,MedioTex,Marseille,Textile,2024-02-23,12.96,1,73.08,Livree
75,MedioTex,Marseille,Textile,2022-06-26,5.14,1,18.32,Livree
76,FreshMarket,Lille,Alimentaire,2025-07-21,24.97,5,42.48,Livree
77,NordDrive,Lyon,Pieces auto,2025-09-06,38.96,3,74.71,Livree
78,NordDrive,Lyon,Pieces auto,2025-06-21,26.92,2,23.49,Incident
79,FreshMarket,Lille,Alimentaire,2025-10-25,26.93,3,67.6,Livree
80,NordDrive,Lille,Pieces auto,2026-04-25,40.15,1,13.44,Livree
81,MedioTex,Marseille,Textile,2022-06-16,34.41,1,20.16,Livree
82,NordDrive,Lille,Pieces auto,2022-08-27,8.65,4,44.9,Livree
83,NordDrive,Lyon,Pieces auto,2025-04-23,36.14,3,27.41,Livree
84,FreshMarket,Marseille,Alimentaire,2026-06-25,33.99,6,40.57,Livree
85,MedioTex,Marseille,Textile,2022-06-24,16.85,2,56.96,Livree
86,MedioTex,Lyon,Textile,2024-11-27,36.95,4,68.47,Livree
87,MedioTex,Marseille,Textile,2023-01-20,28.52,3,87.42,Livree
88,FreshMarket,Lille,Alimentaire,2022-11-25,37.55,4,44.51,Livree
89,NordDrive,Lille,Pieces auto,2022-07-27,37.48,1,79.15,Retardee
90,NordDrive,Lyon,Pieces auto,2023-07-21,1.87,1,63.08,Livree
91,FreshMarket,Lyon,Alimentaire,2024-03-22,11.48,2,26.14,Livree
92,FreshMarket,Lille,Alimentaire,2023-11-08,0.59,2,70.22,Livree
93,FreshMarket,Marseille,Alimentaire,2025-05-27,29.35,1,68.78,Livree
94,MedioTex,Lille,Textile,2025-01-30,21.02,2,78.47,Livree
95,MedioTex,Lyon,Textile,2023-07-01,14.92,2,60.11,Retardee
96,NordDrive,Lille,Pieces auto,2025-05-29,9.44,1,47.0,Incident
97,FreshMarket,Lyon,Alimentaire,2025-08-25,10.34,1,18.4,Livree
98,NordDrive,Marseille,Pieces auto,2023-07-15,29.16,2,33.44,Livree
99,FreshMarket,Lyon,Alimentaire,2026-06-20,18.65,4,31.37,Retardee
100,NordDrive,Marseille,Pieces auto,2023-12-31,0.85,1,41.52,Retardee
101,NordDrive,Marseille,Pieces auto,2024-08-21,38.41,2,68.88,Livree
102,MedioTex,Lyon,Textile,2023-05-04,37.69,3,63.51,Livree
103,MedioTex,Marseille,Textile,2024-08-13,30.14,1,77.35,Livree
104,MedioTex,Lyon,Textile,2024-11-11,27.65,2,41.02,Livree
105,NordDrive,Lille,Pieces auto,2026-03-18,8.82,1,55.77,Livree
106,FreshMarket,Marseille,Alimentaire,2023-02-22,4.38,3,33.02,Livree
107,NordDrive,Marseille,Pieces auto,2023-07-11,1.42,2,80.63,Livree
108,FreshMarket,Lille,Alimentaire,2024-04-10,44.56,2,23.46,Livree
109,NordDrive,Lyon,Pieces auto,2026-02-01,19.17,1,54.18,Livree
110,NordDrive,Marseille,Pieces auto,2024-12-14,4.38,3,28.77,Livree
111,NordDrive,Marseille,Pieces auto,2023-08-20,35.77,2,56.95,Livree
112,MedioTex,Marseille,Textile,2023-04-08,30.37,2,31.72,Livree
113,NordDrive,Lille,Pieces auto,2025-06-28,10.51,3,63.38,Livree
114,NordDrive,Lille,Pieces auto,2025-02-26,23.8,4,22.29,Livree
115,MedioTex,Lille,Textile,2022-04-26,12.94,1,35.85,Livree
116,NordDrive,Lille,Pieces auto,2023-02-19,20.35,2,52.06,Livree
117,NordDrive,Marseille,Pieces auto,2024-12-15,23.63,3,55.98,Livree
118,FreshMarket,Marseille,Alimentaire,2024-04-25,37.99,4,83.04,Retardee
119,NordDrive,Marseille,Pieces auto,2025-08-19,9.59,3,84.65,Livree
120,FreshMarket,Lille,Alimentaire,2024-10-16,36.16,1,11.2,Livree
121,NordDrive,Lyon,Pieces auto,2024-11-23,12.51,2,82.68,Livree
122,MedioTex,Marseille,Textile,2025-06-02,19.63,4,63.95,Livree
123,MedioTex,Marseille,Textile,2024-03-13,38.51,1,16.41,Livree
124,FreshMarket,Marseille,Alimentaire,2022-06-09,19.93,2,14.96,Livree
125,NordDrive,Lyon,Pieces auto,2026-06-15,4.8,2,66.53,Livree
126,FreshMarket,Lille,Alimentaire,2025-09-04,15.37,5,66.14,Livree
127,MedioTex,Lille,Textile,2022-03-04,39.93,2,60.26,Livree
128,NordDrive,Lille,Pieces auto,2023-10-07,39.96,1,83.67,Incident
129,MedioTex,Marseille,Textile,2024-10-15,40.94,6,85.14,Livree
130,FreshMarket,Lille,Alimentaire,2023-12-14,6.28,2,46.46,Livree
131,FreshMarket,Lyon,Alimentaire,2025-09-12,15.03,4,51.67,Livree
132,FreshMarket,Lyon,Alimentaire,2023-02-09,30.78,3,38.35,Livree
133,FreshMarket,Marseille,Alimentaire,2026-03-04,23.23,1,37.79,Livree
134,MedioTex,Lille,Textile,2024-02-14,11.15,2,48.97,Livree
135,MedioTex,Lyon,Textile,2025-04-12,3.99,3,28.57,Livree
136,NordDrive,Lille,Pieces auto,2025-03-18,36.33,3,55.56,Livree
137,NordDrive,Lille,Pieces auto,2026-04-14,20.79,2,77.78,Livree
138,FreshMarket,Lyon,Alimentaire,2023-11-03,2.51,1,38.02,Livree
139,FreshMarket,Lyon,Alimentaire,2024-02-28,22.99,2,57.64,Livree
140,MedioTex,Marseille,Textile,2024-01-30,30.41,3,28.68,Livree
141,NordDrive,Lille,Pieces auto,2025-09-28,2.34,2,65.78,Retardee
142,NordDrive,Lille,Pieces auto,2024-07-25,20.88,1,29.51,Livree
143,MedioTex,Lille,Textile,2023-02-27,2.04,1,42.36,Livree
144,MedioTex,Marseille,Textile,2026-02-26,22.41,4,73.97,Livree
145,FreshMarket,Marseille,Alimentaire,2024-04-26,32.14,1,82.12,Livree
146,FreshMarket,Lyon,Alimentaire,2025-10-18,39.54,1,67.05,Retardee
147,NordDrive,Lille,Pieces auto,2025-04-24,6.93,1,29.49,Retardee
148,FreshMarket,Lille,Alimentaire,2025-12-22,20.14,2,36.27,Livree
149,NordDrive,Lyon,Pieces auto,2024-09-12,28.07,2,59.29,Livree
150,NordDrive,Marseille,Pieces auto,2022-05-25,1.7,1,52.24,Livree
151,FreshMarket,Lille,Alimentaire,2026-04-22,23.73,3,66.25,Retardee
152,FreshMarket,Marseille,Alimentaire,2025-08-06,8.28,4,39.24,Livree
153,MedioTex,Lyon,Textile,2025-07-02,34.37,2,63.9,Retardee
154,NordDrive,Lille,Pieces auto,2025-12-20,33.21,2,12.77,Livree
155,MedioTex,Lyon,Textile,2024-08-13,3.72,1,36.02,Livree
156,MedioTex,Marseille,Textile,2025-05-24,4.09,1,73.92,Livree
157,FreshMarket,Marseille,Alimentaire,2023-10-31,3.63,2,81.64,Livree
158,FreshMarket,Lille,Alimentaire,2025-08-13,34.43,1,80.25,Livree
159,FreshMarket,Marseille,Alimentaire,2022-01-01,29.36,2,54.51,Livree
160,FreshMarket,Marseille,Alimentaire,2023-04-03,16.9,3,63.66,Livree
161,FreshMarket,Lille,Alimentaire,2025-03-10,31.62,4,18.13,Livree
162,NordDrive,Marseille,Pieces auto,2023-07-15,19.14,2,53.14,Livree
163,NordDrive,Lille,Pieces auto,2024-05-14,41.18,3,58.82,Livree
164,NordDrive,Lille,Pieces auto,2022-07-28,17.61,1,24.11,Livree
165,FreshMarket,Lille,Alimentaire,2025-11-02,20.53,3,54.78,Livree
166,FreshMarket,Lyon,Alimentaire,2024-03-22,37.28,1,44.03,Livree
167,FreshMarket,Marseille,Alimentaire,2024-03-26,7.66,2,80.55,Livree
168,MedioTex,Lille,Textile,2023-12-03,24.27,2,76.28,Livree
169,MedioTex,Lille,Textile,2025-07-09,9.33,1,46.46,Incident
170,FreshMarket,Lyon,Alimentaire,2026-04-20,16.12,4,61.49,Livree
171,FreshMarket,Lille,Alimentaire,2024-09-15,23.82,1,24.42,Livree
172,MedioTex,Lyon,Textile,2023-01-05,15.6,2,47.69,Livree
173,MedioTex,Lyon,Textile,2026-06-12,7.85,1,69.42,Incident
174,FreshMarket,Lille,Alimentaire,2025-01-26,43.79,5,78.7,Livree
175,FreshMarket,Lille,Alimentaire,2023-07-07,14.13,2,76.29,Livree
176,MedioTex,Lyon,Textile,2022-05-08,43.23,3,69.96,Livree
177,FreshMarket,Lille,Alimentaire,2023-08-11,41.18,2,85.11,Livree
178,MedioTex,Lille,Textile,2025-12-10,34.39,4,68.4,Livree
179,MedioTex,Marseille,Textile,2022-11-12,13.42,3,24.22,Incident
180,FreshMarket,Marseille,Alimentaire,2025-06-01,15.09,3,16.04,Livree
181,FreshMarket,Lyon,Alimentaire,2022-06-17,13.97,3,11.33,Livree
182,FreshMarket,Marseille,Alimentaire,2022-10-01,2.33,2,60.53,Incident
183,MedioTex,Lille,Textile,2025-01-25,18.42,1,67.77,Livree
184,FreshMarket,Lyon,Alimentaire,2024-08-06,5.56,1,33.88,Livree
185,NordDrive,Marseille,Pieces auto,2022-11-02,15.49,4,79.42,Livree
186,FreshMarket,Marseille,Alimentaire,2022-09-12,36.21,4,87.4,Livree
187,NordDrive,Marseille,Pieces auto,2025-04-03,40.3,3,56.42,Retardee
188,MedioTex,Marseille,Textile,2026-06-24,11.4,2,57.94,Livree
189,NordDrive,Lille,Pieces auto,2026-07-22,3.95,4,82.03,Livree
190,FreshMarket,Marseille,Alimentaire,2025-06-03,37.64,4,26.58,Livree
191,FreshMarket,Lyon,Alimentaire,2022-04-05,31.94,1,47.18,Livree
192,NordDrive,Lille,Pieces auto,2023-12-17,28.57,2,20.82,Retardee
193,MedioTex,Lille,Textile,2026-03-10,9.22,2,56.89,Livree
194,NordDrive,Marseille,Pieces auto,2025-12-10,15.41,3,80.86,Livree
195,NordDrive,Lille,Pieces auto,2023-08-18,13.43,1,18.89,Livree
196,MedioTex,Lyon,Textile,2024-10-25,41.66,1,60.9,Livree
197,MedioTex,Lyon,Textile,2026-05-23,7.97,1,11.28,Retardee
198,NordDrive,Lille,Pieces auto,2022-02-09,13.66,3,42.47,Livree
199,FreshMarket,Lille,Alimentaire,2024-11-25,22.72,4,29.19,Livree
200,MedioTex,Lille,Textile,2025-09-15,9.35,2,40.35,Livree
201,FreshMarket,Lille,Alimentaire,2025-01-06,22.99,1,48.15,Livree
202,MedioTex,Lille,Textile,2024-12-15,43.95,2,43.85,Livree
203,NordDrive,Lyon,Pieces auto,2023-10-03,41.75,1,39.9,Livree
204,NordDrive,Lyon,Pieces auto,2022-10-31,25.11,4,76.46,Livree
205,FreshMarket,Lille,Alimentaire,2024-05-10,27.77,1,77.38,Livree
206,NordDrive,Lyon,Pieces auto,2024-10-20,11.68,1,17.6,Incident
207,MedioTex,Lille,Textile,2024-02-03,26.59,1,52.17,Livree
208,FreshMarket,Lille,Alimentaire,2022-05-29,19.93,1,82.48,Livree
209,MedioTex,Lille,Textile,2022-10-16,25.49,3,25.13,Livree
210,NordDrive,Marseille,Pieces auto,2025-05-08,11.66,2,48.66,Livree
211,MedioTex,Lille,Textile,2026-07-01,29.81,2,71.41,Livree
212,NordDrive,Lille,Pieces auto,2026-07-20,7.32,1,60.4,Retardee
213,MedioTex,Marseille,Textile,2022-01-06,9.59,2,25.38,Livree
214,MedioTex,Marseille,Textile,2024-12-01,30.73,1,41.62,Livree
215,FreshMarket,Lille,Alimentaire,2026-03-19,24.91,1,38.82,Livree
216,FreshMarket,Marseille,Alimentaire,2024-05-22,21.48,2,55.09,Livree
217,NordDrive,Lille,Pieces auto,2023-09-16,31.97,3,81.51,Livree
218,NordDrive,Marseille,Pieces auto,2026-02-26,43.45,3,32.74,Livree
219,MedioTex,Lyon,Textile,2024-06-23,19.4,3,81.83,Livree
220,NordDrive,Marseille,Pieces auto,2023-01-02,19.21,2,71.36,Livree
221,FreshMarket,Marseille,Alimentaire,2025-06-16,19.73,1,68.42,Retardee
222,MedioTex,Lille,Textile,2025-09-30,42.1,3,51.48,Livree
223,NordDrive,Marseille,Pieces auto,2023-10-04,17.94,1,22.67,Livree
224,NordDrive,Lyon,Pieces auto,2024-10-13,7.15,3,56.12,Retardee
225,NordDrive,Lyon,Pieces auto,2026-06-18,29.89,2,66.91,Livree
226,FreshMarket,Lille,Alimentaire,2022-06-01,11.58,4,56.19,Livree
227,NordDrive,Lyon,Pieces auto,2026-04-22,13.64,3,71.18,Livree
228,FreshMarket,Lyon,Alimentaire,2025-09-24,39.68,2,67.32,Livree
229,MedioTex,Lille,Textile,2022-11-21,15.66,3,33.36,Livree
230,FreshMarket,Lyon,Alimentaire,2025-09-21,33.7,1,45.44,Incident
231,MedioTex,Marseille,Textile,2023-03-05,41.65,2,34.24,Retardee
232,FreshMarket,Marseille,Alimentaire,2022-07-15,32.03,2,17.98,Livree
233,FreshMarket,Lille,Alimentaire,2025-10-12,33.26,2,21.06,Livree
234,NordDrive,Lille,Pieces auto,2024-09-24,29.28,1,65.0,Livree
235,MedioTex,Lyon,Textile,2022-03-02,4.2,1,76.49,Livree
236,NordDrive,Lille,Pieces auto,2024-03-18,18.02,1,24.99,Livree
237,FreshMarket,Lille,Alimentaire,2025-05-13,21.73,4,69.61,Livree
238,MedioTex,Marseille,Textile,2022-11-07,21.85,2,55.36,Livree
239,NordDrive,Marseille,Pieces auto,2024-05-11,9.43,1,54.66,Livree
240,FreshMarket,Marseille,Alimentaire,2023-07-07,11.16,4,53.36,Livree
241,FreshMarket,Marseille,Alimentaire,2026-01-18,26.29,2,37.36,Livree
242,NordDrive,Lille,Pieces auto,2024-10-10,29.26,3,34.54,Livree
243,MedioTex,Lille,Textile,2023-11-23,15.27,3,47.17,Livree
244,MedioTex,Lyon,Textile,2023-03-14,12.1,2,66.98,Livree
245,NordDrive,Lille,Pieces auto,2025-06-12,9.63,4,32.6,Livree
246,FreshMarket,Lyon,Alimentaire,2022-06-08,42.75,1,59.29,Livree
247,FreshMarket,Lille,Alimentaire,2023-12-12,36.88,2,30.12,Livree
248,MedioTex,Marseille,Textile,2026-02-11,16.56,1,18.01,Incident
249,FreshMarket,Lille,Alimentaire,2024-03-01,22.05,3,62.17,Livree
250,MedioTex,Lille,Textile,2025-03-08,14.27,3,47.49,Livree
251,NordDrive,Marseille,Pieces auto,2025-02-13,33.79,3,12.87,Livree
252,FreshMarket,Lille,Alimentaire,2024-07-25,22.67,2,73.97,Livree
253,FreshMarket,Lyon,Alimentaire,2023-04-28,28.88,3,69.89,Livree
254,FreshMarket,Lyon,Alimentaire,2024-01-11,35.46,1,24.86,Livree
255,FreshMarket,Lyon,Alimentaire,2024-07-22,43.92,3,42.1,Livree
256,NordDrive,Lille,Pieces auto,2026-03-11,36.46,2,61.52,Livree
257,NordDrive,Lille,Pieces auto,2023-01-22,23.42,1,53.39,Livree
258,FreshMarket,Lille,Alimentaire,2025-06-04,8.76,1,10.6,Livree
259,NordDrive,Lyon,Pieces auto,2022-08-30,34.16,1,10.72,Livree
260,NordDrive,Lille,Pieces auto,2025-11-30,25.94,2,54.4,Livree
261,FreshMarket,Marseille,Alimentaire,2023-07-08,31.72,3,63.16,Livree
262,FreshMarket,Marseille,Alimentaire,2024-01-05,41.57,2,61.98,Livree
263,FreshMarket,Marseille,Alimentaire,2024-02-16,16.69,1,42.13,Livree
264,FreshMarket,Marseille,Alimentaire,2026-06-26,2.79,3,54.86,Livree
265,MedioTex,Marseille,Textile,2023-10-29,36.95,2,26.67,Livree
266,MedioTex,Lyon,Textile,2022-08-20,21.17,3,29.57,Retardee
267,NordDrive,Lille,Pieces auto,2024-08-20,10.28,3,42.83,Livree
268,MedioTex,Marseille,Textile,2025-07-10,3.0,2,44.63,Livree
269,MedioTex,Lyon,Textile,2023-09-02,2.51,1,76.98,Livree
270,MedioTex,Lyon,Textile,2025-02-05,16.54,1,68.43,Livree
271,FreshMarket,Lyon,Alimentaire,2026-05-15,18.8,3,26.71,Retardee
272,FreshMarket,Marseille,Alimentaire,2024-04-01,6.54,4,68.84,Livree
273,MedioTex,Lille,Textile,2025-08-26,43.07,3,74.63,Livree
274,NordDrive,Lyon,Pieces auto,2024-03-30,39.03,2,57.19,Livree
275,NordDrive,Lyon,Pieces auto,2026-02-28,15.12,2,71.21,Livree
276,FreshMarket,Lille,Alimentaire,2024-09-16,28.38,1,42.84,Livree
277,FreshMarket,Marseille,Alimentaire,2023-10-30,3.62,3,34.18,Livree
278,MedioTex,Marseille,Textile,2024-11-30,20.37,4,17.49,Livree
279,NordDrive,Marseille,Pieces auto,2024-11-16,4.69,3,75.7,Livree
280,FreshMarket,Marseille,Alimentaire,2025-08-25,24.26,3,51.78,Retardee
281,FreshMarket,Lyon,Alimentaire,2024-03-19,29.85,1,9.3,Livree
282,NordDrive,Lille,Pieces auto,2024-04-09,5.19,2,86.72,Livree
283,MedioTex,Lyon,Textile,2025-04-24,41.42,2,47.65,Livree
284,FreshMarket,Lyon,Alimentaire,2022-02-02,21.85,2,87.31,Livree
285,MedioTex,Lyon,Textile,2025-12-15,29.51,1,37.02,Livree
286,NordDrive,Marseille,Pieces auto,2025-07-16,6.8,3,22.99,Livree
287,MedioTex,Marseille,Textile,2025-05-11,25.93,1,15.67,Livree
288,MedioTex,Lyon,Textile,2025-04-17,35.85,1,74.31,Livree
289,FreshMarket,Lille,Alimentaire,2024-07-16,40.8,3,40.95,Livree
290,MedioTex,Marseille,Textile,2022-03-05,35.86,3,42.47,Livree
291,MedioTex,Marseille,Textile,2026-02-20,44.91,1,18.48,Livree
292,MedioTex,Lille,Textile,2022-06-14,38.88,1,16.79,Livree
293,NordDrive,Lyon,Pieces auto,2025-05-18,20.91,3,43.01,Livree
294,FreshMarket,Lyon,Alimentaire,2022-07-28,18.03,2,56.38,Livree
295,FreshMarket,Lyon,Alimentaire,2025-06-01,41.83,2,18.09,Livree
296,MedioTex,Marseille,Textile,2025-11-16,0.67,1,36.21,Retardee
297,MedioTex,Lyon,Textile,2023-09-11,13.55,2,27.13,Livree
298,MedioTex,Marseille,Textile,2022-09-14,10.92,1,7.88,Livree
299,NordDrive,Lille,Pieces auto,2024-08-25,31.83,1,53.21,Livree
300,NordDrive,Marseille,Pieces auto,2022-09-11,34.48,3,35.97,Livree
301,MedioTex,Lyon,Textile,2023-08-12,31.85,3,51.14,Livree
302,NordDrive,Lyon,Pieces auto,2024-11-18,20.53,3,75.31,Livree
303,FreshMarket,Lyon,Alimentaire,2026-02-18,40.86,2,36.11,Retardee
304,FreshMarket,Lyon,Alimentaire,2023-02-07,17.31,1,28.31,Livree
305,FreshMarket,Lille,Alimentaire,2023-12-22,20.28,2,54.49,Livree
306,NordDrive,Marseille,Pieces auto,2025-11-10,21.02,1,67.58,Livree
307,NordDrive,Lyon,Pieces auto,2025-04-19,32.21,2,83.39,Livree
308,MedioTex,Lille,Textile,2023-12-26,21.36,3,77.03,Livree
309,NordDrive,Lyon,Pieces auto,2023-07-05,20.41,2,68.42,Retardee
310,FreshMarket,Lille,Alimentaire,2024-11-23,24.52,4,17.63,Retardee
311,NordDrive,Marseille,Pieces auto,2024-07-31,5.44,1,64.27,Livree
312,FreshMarket,Lille,Alimentaire,2022-03-02,7.47,1,75.5,Livree
313,MedioTex,Marseille,Textile,2025-01-23,37.47,3,33.61,Livree
314,NordDrive,Lille,Pieces auto,2026-01-08,16.42,1,39.11,Livree
315,FreshMarket,Lille,Alimentaire,2024-11-26,17.56,1,69.26,Livree
316,FreshMarket,Marseille,Alimentaire,2024-11-15,1.31,2,31.53,Livree
317,NordDrive,Marseille,Pieces auto,2026-04-26,18.88,2,50.03,Livree
318,FreshMarket,Marseille,Alimentaire,2023-07-20,32.36,4,86.61,Livree
319,NordDrive,Marseille,Pieces auto,2023-02-15,38.83,4,49.64,Retardee
320,FreshMarket,Lille,Alimentaire,2025-03-09,9.39,1,44.9,Livree
321,FreshMarket,Lyon,Alimentaire,2025-03-14,34.19,2,24.16,Livree
322,MedioTex,Lyon,Textile,2022-06-21,44.48,3,85.71,Livree
323,MedioTex,Marseille,Textile,2025-07-27,40.57,3,12.98,Retardee
324,FreshMarket,Lyon,Alimentaire,2023-05-25,34.98,4,30.8,Livree
325,NordDrive,Lyon,Pieces auto,2023-12-15,40.05,2,71.76,Livree
326,FreshMarket,Marseille,Alimentaire,2024-03-14,0.3,3,66.62,Livree
327,MedioTex,Lyon,Textile,2023-08-16,27.03,1,38.92,Livree
328,MedioTex,Lille,Textile,2024-01-24,1.68,3,49.62,Livree
329,FreshMarket,Lille,Alimentaire,2026-07-08,42.63,3,32.71,Livree
330,NordDrive,Marseille,Pieces auto,2026-06-05,16.42,1,68.87,Incident
331,NordDrive,Marseille,Pieces auto,2022-01-21,43.68,1,40.69,Livree
332,NordDrive,Lille,Pieces auto,2025-08-11,20.21,5,57.01,Livree
333,MedioTex,Lyon,Textile,2022-05-11,39.97,2,18.08,Retardee
334,NordDrive,Lyon,Pieces auto,2024-10-09,41.53,4,58.26,Retardee
335,MedioTex,Marseille,Textile,2023-02-14,41.4,1,48.9,Livree
336,NordDrive,Marseille,Pieces auto,2022-08-26,14.08,2,27.72,Livree
337,FreshMarket,Lyon,Alimentaire,2022-12-18,19.33,1,38.25,Livree
338,NordDrive,Marseille,Pieces auto,2026-04-23,14.72,2,8.03,Livree
339,NordDrive,Marseille,Pieces auto,2026-02-24,30.71,1,18.81,Livree
340,MedioTex,Lyon,Textile,2022-09-13,13.53,4,68.2,Retardee
341,NordDrive,Lille,Pieces auto,2024-05-05,2.69,1,59.74,Retardee
342,FreshMarket,Lille,Alimentaire,2023-02-13,33.34,2,77.1,Livree
343,FreshMarket,Lyon,Alimentaire,2025-06-14,2.48,1,27.11,Retardee
344,FreshMarket,Lyon,Alimentaire,2026-02-04,13.3,1,50.11,Livree
345,NordDrive,Lyon,Pieces auto,2022-02-11,10.86,1,81.97,Livree
346,FreshMarket,Marseille,Alimentaire,2022-02-02,38.93,1,41.65,Livree
