timestamp,entrepot,zone,nb_passages,sens
2026-08-02T09:00:00,OMG-LYO,Quai reception,42,entree
2026-08-02T10:00:00,OMG-LYO,Quai reception,26,sortie
2026-08-02T11:00:00,OMG-LYO,Quai reception,32,sortie
2026-08-02T12:00:00,OMG-LYO,Quai reception,17,sortie
2026-08-02T13:00:00,OMG-LYO,Quai reception,8,entree
2026-08-02T14:00:00,OMG-LYO,Quai reception,43,sortie
2026-08-02T15:00:00,OMG-LYO,Quai reception,32,sortie
2026-08-02T16:00:00,OMG-LYO,Quai reception,33,entree
2026-08-02T17:00:00,OMG-LYO,Quai reception,15,sortie
2026-08-02T18:00:00,OMG-LYO,Quai reception,43,sortie
2026-08-02T19:00:00,OMG-LYO,Quai reception,18,entree
2026-08-02T20:00:00,OMG-LYO,Quai reception,16,sortie
2026-08-02T21:00:00,OMG-LYO,Quai reception,16,sortie
2026-08-02T22:00:00,OMG-LYO,Quai reception,9,entree
2026-08-02T23:00:00,OMG-LYO,Quai reception,15,entree
2026-08-03T00:00:00,OMG-LYO,Quai reception,10,sortie
2026-08-03T01:00:00,OMG-LYO,Quai reception,21,entree
2026-08-03T02:00:00,OMG-LYO,Quai reception,25,entree
2026-08-03T03:00:00,OMG-LYO,Quai reception,43,entree
2026-08-03T04:00:00,OMG-LYO,Quai reception,23,entree
2026-08-03T05:00:00,OMG-LYO,Quai reception,35,entree
2026-08-03T06:00:00,OMG-LYO,Quai reception,26,entree
2026-08-03T07:00:00,OMG-LYO,Quai reception,13,entree
2026-08-03T08:00:00,OMG-LYO,Quai reception,17,sortie
2026-08-03T09:00:00,OMG-LYO,Quai reception,2,sortie
2026-08-03T10:00:00,OMG-LYO,Quai reception,26,entree
2026-08-03T11:00:00,OMG-LYO,Quai reception,43,sortie
2026-08-03T12:00:00,OMG-LYO,Quai reception,6,sortie
2026-08-03T13:00:00,OMG-LYO,Quai reception,38,entree
2026-08-03T14:00:00,OMG-LYO,Quai reception,5,sortie
2026-08-03T15:00:00,OMG-LYO,Quai reception,14,sortie
2026-08-03T16:00:00,OMG-LYO,Quai reception,9,sortie
2026-08-03T17:00:00,OMG-LYO,Quai reception,36,entree
2026-08-03T18:00:00,OMG-LYO,Quai reception,40,sortie
2026-08-03T19:00:00,OMG-LYO,Quai reception,32,sortie
2026-08-03T20:00:00,OMG-LYO,Quai reception,45,sortie
2026-08-03T21:00:00,OMG-LYO,Quai reception,18,entree
2026-08-03T22:00:00,OMG-LYO,Quai reception,32,entree
2026-08-03T23:00:00,OMG-LYO,Quai reception,24,entree
2026-08-01T00:00:00,OMG-LYO,Quai expedition,8,sortie
2026-08-01T01:00:00,OMG-LYO,Quai expedition,33,entree
2026-08-01T02:00:00,OMG-LYO,Quai expedition,24,entree
2026-08-01T03:00:00,OMG-LYO,Quai expedition,2,entree
2026-08-01T04:00:00,OMG-LYO,Quai expedition,8,sortie
2026-08-01T05:00:00,OMG-LYO,Quai expedition,19,entree
2026-08-01T06:00:00,OMG-LYO,Quai expedition,26,entree
2026-08-01T07:00:00,OMG-LYO,Quai expedition,36,sortie
2026-08-01T08:00:00,OMG-LYO,Quai expedition,34,entree
2026-08-01T09:00:00,OMG-LYO,Quai expedition,35,entree
2026-08-01T10:00:00,OMG-LYO,Quai expedition,34,entree
2026-08-01T11:00:00,OMG-LYO,Quai expedition,25,sortie
2026-08-01T12:00:00,OMG-LYO,Quai expedition,22,sortie
2026-08-01T13:00:00,OMG-LYO,Quai expedition,11,entree
2026-08-01T14:00:00,OMG-LYO,Quai expedition,23,sortie
2026-08-01T15:00:00,OMG-LYO,Quai expedition,16,sortie
2026-08-01T16:00:00,OMG-LYO,Quai expedition,11,entree
2026-08-01T17:00:00,OMG-LYO,Quai expedition,32,entree
2026-08-01T18:00:00,OMG-LYO,Quai expedition,1,sortie
2026-08-01T19:00:00,OMG-LYO,Quai expedition,12,entree
2026-08-01T20:00:00,OMG-LYO,Quai expedition,31,sortie
2026-08-01T21:00:00,OMG-LYO,Quai expedition,29,sortie
2026-08-01T22:00:00,OMG-LYO,Quai expedition,35,entree
2026-08-01T23:00:00,OMG-LYO,Quai expedition,24,entree
2026-08-02T00:00:00,OMG-LYO,Quai expedition,2,sortie
2026-08-02T01:00:00,OMG-LYO,Quai expedition,26,sortie
2026-08-02T02:00:00,OMG-LYO,Quai expedition,25,sortie
2026-08-02T03:00:00,OMG-LYO,Quai expedition,23,entree
2026-08-02T04:00:00,OMG-LYO,Quai expedition,12,entree
2026-08-02T05:00:00,OMG-LYO,Quai expedition,29,entree
2026-08-02T06:00:00,OMG-LYO,Quai expedition,20,sortie
2026-08-02T07:00:00,OMG-LYO,Quai expedition,29,sortie
2026-08-02T08:00:00,OMG-LYO,Quai expedition,14,entree
2026-08-02T09:00:00,OMG-LYO,Quai expedition,26,entree
2026-08-02T10:00:00,OMG-LYO,Quai expedition,27,entree
2026-08-02T11:00:00,OMG-LYO,Quai expedition,3,sortie
2026-08-02T12:00:00,OMG-LYO,Quai expedition,41,sortie
2026-08-02T13:00:00,OMG-LYO,Quai expedition,43,entree
2026-08-02T14:00:00,OMG-LYO,Quai expedition,6,entree
2026-08-02T15:00:00,OMG-LYO,Quai expedition,18,entree
2026-08-02T16:00:00,OMG-LYO,Quai expedition,24,sortie
2026-08-02T17:00:00,OMG-LYO,Quai expedition,6,sortie
2026-08-02T18:00:00,OMG-LYO,Quai expedition,31,entree
2026-08-02T19:00:00,OMG-LYO,Quai expedition,35,sortie
2026-08-02T20:00:00,OMG-LYO,Quai expedition,42,entree
2026-08-02T21:00:00,OMG-LYO,Quai expedition,35,entree
2026-08-02T22:00:00,OMG-LYO,Quai expedition,34,sortie
2026-08-02T23:00:00,OMG-LYO,Quai expedition,33,entree
2026-08-03T00:00:00,OMG-LYO,Quai expedition,22,sortie
2026-08-03T01:00:00,OMG-LYO,Quai expedition,29,entree
2026-08-03T02:00:00,OMG-LYO,Quai expedition,11,entree
2026-08-03T03:00:00,OMG-LYO,Quai expedition,41,entree
2026-08-03T04:00:00,OMG-LYO,Quai expedition,43,sortie
2026-08-03T05:00:00,OMG-LYO,Quai expedition,38,sortie
2026-08-03T06:00:00,OMG-LYO,Quai expedition,36,entree
2026-08-03T07:00:00,OMG-LYO,Quai expedition,18,entree
2026-08-03T08:00:00,OMG-LYO,Quai expedition,27,sortie
2026-08-03T09:00:00,OMG-LYO,Quai expedition,14,entree
2026-08-03T10:00:00,OMG-LYO,Quai expedition,35,entree
2026-08-03T11:00:00,OMG-LYO,Quai expedition,37,entree
2026-08-03T12:00:00,OMG-LYO,Quai expedition,11,entree
2026-08-03T13:00:00,OMG-LYO,Quai expedition,7,entree
2026-08-03T14:00:00,OMG-LYO,Quai expedition,5,entree
2026-08-03T15:00:00,OMG-LYO,Quai expedition,35,sortie
2026-08-03T16:00:00,OMG-LYO,Quai expedition,0,sortie
2026-08-03T17:00:00,OMG-LYO,Quai expedition,40,sortie
2026-08-03T18:00:00,OMG-LYO,Quai expedition,10,sortie
2026-08-03T19:00:00,OMG-LYO,Quai expedition,42,sortie
2026-08-03T20:00:00,OMG-LYO,Quai expedition,42,sortie
2026-08-03T21:00:00,OMG-LYO,Quai expedition,37,entree
2026-08-03T22:00:00,OMG-LYO,Quai expedition,1,entree
2026-08-03T23:00:00,OMG-LYO,Quai expedition,14,entree
2026-08-01T00:00:00,OMG-LIL,Quai reception,36,entree
2026-08-01T01:00:00,OMG-LIL,Quai reception,45,sortie
2026-08-01T02:00:00,OMG-LIL,Quai reception,14,sortie
2026-08-01T03:00:00,OMG-LIL,Quai reception,12,sortie
2026-08-01T04:00:00,OMG-LIL,Quai reception,44,entree
2026-08-01T05:00:00,OMG-LIL,Quai reception,2,entree
2026-08-01T06:00:00,OMG-LIL,Quai reception,5,sortie
2026-08-01T07:00:00,OMG-LIL,Quai reception,17,entree
2026-08-01T08:00:00,OMG-LIL,Quai reception,22,sortie
2026-08-01T09:00:00,OMG-LIL,Quai reception,17,entree
2026-08-01T10:00:00,OMG-LIL,Quai reception,33,sortie
2026-08-01T11:00:00,OMG-LIL,Quai reception,9,sortie
2026-08-01T12:00:00,OMG-LIL,Quai reception,45,sortie
2026-08-01T13:00:00,OMG-LIL,Quai reception,4,sortie
2026-08-01T14:00:00,OMG-LIL,Quai reception,30,entree
2026-08-01T15:00:00,OMG-LIL,Quai reception,33,entree
2026-08-01T16:00:00,OMG-LIL,Quai reception,21,sortie
2026-08-01T17:00:00,OMG-LIL,Quai reception,4,sortie
2026-08-01T18:00:00,OMG-LIL,Quai reception,42,entree
2026-08-01T19:00:00,OMG-LIL,Quai reception,44,entree
2026-08-01T20:00:00,OMG-LIL,Quai reception,26,entree
2026-08-01T21:00:00,OMG-LIL,Quai reception,1,sortie
2026-08-01T22:00:00,OMG-LIL,Quai reception,23,entree
2026-08-01T23:00:00,OMG-LIL,Quai reception,13,entree
2026-08-02T00:00:00,OMG-LIL,Quai reception,38,entree
2026-08-02T01:00:00,OMG-LIL,Quai reception,35,entree
2026-08-02T02:00:00,OMG-LIL,Quai reception,14,entree
2026-08-02T03:00:00,OMG-LIL,Quai reception,1,entree
2026-08-02T04:00:00,OMG-LIL,Quai reception,1,sortie
2026-08-02T05:00:00,OMG-LIL,Quai reception,27,sortie
2026-08-02T06:00:00,OMG-LIL,Quai reception,36,entree
2026-08-02T07:00:00,OMG-LIL,Quai reception,28,sortie
2026-08-02T08:00:00,OMG-LIL,Quai reception,31,entree
2026-08-02T09:00:00,OMG-LIL,Quai reception,11,entree
2026-08-02T10:00:00,OMG-LIL,Quai reception,30,sortie
2026-08-02T11:00:00,OMG-LIL,Quai reception,26,entree
2026-08-02T12:00:00,OMG-LIL,Quai reception,12,sortie
2026-08-02T13:00:00,OMG-LIL,Quai reception,37,entree
2026-08-02T14:00:00,OMG-LIL,Quai reception,3,entree
2026-08-02T15:00:00,OMG-LIL,Quai reception,11,sortie
2026-08-02T16:00:00,OMG-LIL,Quai reception,30,entree
2026-08-02T17:00:00,OMG-LIL,Quai reception,5,sortie
2026-08-02T18:00:00,OMG-LIL,Quai reception,22,sortie
2026-08-02T19:00:00,OMG-LIL,Quai reception,28,sortie
2026-08-02T20:00:00,OMG-LIL,Quai reception,38,entree
2026-08-02T21:00:00,OMG-LIL,Quai reception,0,entree
2026-08-02T22:00:00,OMG-LIL,Quai reception,32,sortie
2026-08-02T23:00:00,OMG-LIL,Quai reception,30,entree
2026-08-03T00:00:00,OMG-LIL,Quai reception,3,sortie
2026-08-03T01:00:00,OMG-LIL,Quai reception,7,entree
2026-08-03T02:00:00,OMG-LIL,Quai reception,34,entree
2026-08-03T03:00:00,OMG-LIL,Quai reception,27,entree
2026-08-03T04:00:00,OMG-LIL,Quai reception,1,entree
2026-08-03T05:00:00,OMG-LIL,Quai reception,18,entree
2026-08-03T06:00:00,OMG-LIL,Quai reception,26,sortie
2026-08-03T07:00:00,OMG-LIL,Quai reception,45,entree
2026-08-03T08:00:00,OMG-LIL,Quai reception,16,sortie
2026-08-03T09:00:00,OMG-LIL,Quai reception,7,entree
2026-08-03T10:00:00,OMG-LIL,Quai reception,44,sortie
2026-08-03T11:00:00,OMG-LIL,Quai reception,9,sortie
2026-08-03T12:00:00,OMG-LIL,Quai reception,16,entree
2026-08-03T13:00:00,OMG-LIL,Quai reception,9,entree
2026-08-03T14:00:00,OMG-LIL,Quai reception,25,sortie
2026-08-03T15:00:00,OMG-LIL,Quai reception,34,sortie
2026-08-03T16:00:00,OMG-LIL,Quai reception,31,entree
2026-08-03T17:00:00,OMG-LIL,Quai reception,11,sortie
2026-08-03T18:00:00,OMG-LIL,Quai reception,40,entree
2026-08-03T19:00:00,OMG-LIL,Quai reception,10,entree
2026-08-03T20:00:00,OMG-LIL,Quai reception,11,entree
2026-08-03T21:00:00,OMG-LIL,Quai reception,17,entree
2026-08-03T22:00:00,OMG-LIL,Quai reception,21,sortie
2026-08-03T23:00:00,OMG-LIL,Quai reception,45,entree
2026-08-01T00:00:00,OMG-LIL,Quai expedition,28,entree
2026-08-01T01:00:00,OMG-LIL,Quai expedition,26,entree
2026-08-01T02:00:00,OMG-LIL,Quai expedition,37,sortie
2026-08-01T03:00:00,OMG-LIL,Quai expedition,37,sortie
2026-08-01T04:00:00,OMG-LIL,Quai expedition,43,sortie
2026-08-01T05:00:00,OMG-LIL,Quai expedition,12,entree
2026-08-01T06:00:00,OMG-LIL,Quai expedition,17,entree
2026-08-01T07:00:00,OMG-LIL,Quai expedition,25,entree
2026-08-01T08:00:00,OMG-LIL,Quai expedition,39,sortie
2026-08-01T09:00:00,OMG-LIL,Quai expedition,34,sortie
2026-08-01T10:00:00,OMG-LIL,Quai expedition,29,sortie
2026-08-01T11:00:00,OMG-LIL,Quai expedition,34,entree
2026-08-01T12:00:00,OMG-LIL,Quai expedition,28,sortie
2026-08-01T13:00:00,OMG-LIL,Quai expedition,43,sortie
2026-08-01T14:00:00,OMG-LIL,Quai expedition,39,sortie
2026-08-01T15:00:00,OMG-LIL,Quai expedition,26,entree
2026-08-01T16:00:00,OMG-LIL,Quai expedition,0,sortie
2026-08-01T17:00:00,OMG-LIL,Quai expedition,4,sortie
2026-08-01T18:00:00,OMG-LIL,Quai expedition,13,entree
2026-08-01T19:00:00,OMG-LIL,Quai expedition,7,entree
2026-08-01T20:00:00,OMG-LIL,Quai expedition,19,sortie
2026-08-01T21:00:00,OMG-LIL,Quai expedition,30,entree
2026-08-01T22:00:00,OMG-LIL,Quai expedition,45,entree
2026-08-01T23:00:00,OMG-LIL,Quai expedition,39,entree
2026-08-02T00:00:00,OMG-LIL,Quai expedition,6,sortie
2026-08-02T01:00:00,OMG-LIL,Quai expedition,36,sortie
2026-08-02T02:00:00,OMG-LIL,Quai expedition,4,sortie
2026-08-02T03:00:00,OMG-LIL,Quai expedition,31,sortie
2026-08-02T04:00:00,OMG-LIL,Quai expedition,6,entree
2026-08-02T05:00:00,OMG-LIL,Quai expedition,28,entree
2026-08-02T06:00:00,OMG-LIL,Quai expedition,32,sortie
2026-08-02T07:00:00,OMG-LIL,Quai expedition,2,entree
2026-08-02T08:00:00,OMG-LIL,Quai expedition,20,entree
2026-08-02T09:00:00,OMG-LIL,Quai expedition,45,entree
2026-08-02T10:00:00,OMG-LIL,Quai expedition,38,sortie
2026-08-02T11:00:00,OMG-LIL,Quai expedition,44,entree
2026-08-02T12:00:00,OMG-LIL,Quai expedition,28,sortie
2026-08-02T13:00:00,OMG-LIL,Quai expedition,33,entree
2026-08-02T14:00:00,OMG-LIL,Quai expedition,1,sortie
2026-08-02T15:00:00,OMG-LIL,Quai expedition,8,sortie
2026-08-02T16:00:00,OMG-LIL,Quai expedition,3,sortie
2026-08-02T17:00:00,OMG-LIL,Quai expedition,5,sortie
2026-08-02T18:00:00,OMG-LIL,Quai expedition,26,sortie
2026-08-02T19:00:00,OMG-LIL,Quai expedition,41,sortie
2026-08-02T20:00:00,OMG-LIL,Quai expedition,27,sortie
2026-08-02T21:00:00,OMG-LIL,Quai expedition,4,entree
2026-08-02T22:00:00,OMG-LIL,Quai expedition,24,sortie
2026-08-02T23:00:00,OMG-LIL,Quai expedition,8,sortie
2026-08-03T00:00:00,OMG-LIL,Quai expedition,8,sortie
2026-08-03T01:00:00,OMG-LIL,Quai expedition,1,entree
2026-08-03T02:00:00,OMG-LIL,Quai expedition,3,entree
2026-08-03T03:00:00,OMG-LIL,Quai expedition,19,sortie
2026-08-03T04:00:00,OMG-LIL,Quai expedition,28,entree
2026-08-03T05:00:00,OMG-LIL,Quai expedition,35,entree
2026-08-03T06:00:00,OMG-LIL,Quai expedition,26,sortie
2026-08-03T07:00:00,OMG-LIL,Quai expedition,21,entree
2026-08-03T08:00:00,OMG-LIL,Quai expedition,8,entree
2026-08-03T09:00:00,OMG-LIL,Quai expedition,16,entree
2026-08-03T10:00:00,OMG-LIL,Quai expedition,45,sortie
2026-08-03T11:00:00,OMG-LIL,Quai expedition,34,sortie
2026-08-03T12:00:00,OMG-LIL,Quai expedition,43,sortie
2026-08-03T13:00:00,OMG-LIL,Quai expedition,38,sortie
2026-08-03T14:00:00,OMG-LIL,Quai expedition,7,sortie
2026-08-03T15:00:00,OMG-LIL,Quai expedition,17,entree
2026-08-03T16:00:00,OMG-LIL,Quai expedition,16,sortie
2026-08-03T17:00:00,OMG-LIL,Quai expedition,3,entree
2026-08-03T18:00:00,OMG-LIL,Quai expedition,33,entree
2026-08-03T19:00:00,OMG-LIL,Quai expedition,28,entree
2026-08-03T20:00:00,OMG-LIL,Quai expedition,22,entree
2026-08-03T21:00:00,OMG-LIL,Quai expedition,5,sortie
2026-08-03T22:00:00,OMG-LIL,Quai expedition,21,sortie
2026-08-03T23:00:00,OMG-LIL,Quai expedition,22,sortie
2026-08-01T00:00:00,OMG-MAR,Quai reception,17,entree
2026-08-01T01:00:00,OMG-MAR,Quai reception,6,sortie
2026-08-01T02:00:00,OMG-MAR,Quai reception,35,sortie
2026-08-01T03:00:00,OMG-MAR,Quai reception,18,entree
2026-08-01T04:00:00,OMG-MAR,Quai reception,8,entree
2026-08-01T05:00:00,OMG-MAR,Quai reception,9,sortie
2026-08-01T06:00:00,OMG-MAR,Quai reception,2,sortie
2026-08-01T07:00:00,OMG-MAR,Quai reception,6,entree
2026-08-01T08:00:00,OMG-MAR,Quai reception,33,sortie
2026-08-01T09:00:00,OMG-MAR,Quai reception,33,entree
2026-08-01T10:00:00,OMG-MAR,Quai reception,30,sortie
2026-08-01T11:00:00,OMG-MAR,Quai reception,42,sortie
2026-08-01T12:00:00,OMG-MAR,Quai reception,0,entree
2026-08-01T13:00:00,OMG-MAR,Quai reception,34,entree
2026-08-01T14:00:00,OMG-MAR,Quai reception,4,sortie
2026-08-01T15:00:00,OMG-MAR,Quai reception,44,sortie
2026-08-01T16:00:00,OMG-MAR,Quai reception,32,entree
2026-08-01T17:00:00,OMG-MAR,Quai reception,4,entree
2026-08-01T18:00:00,OMG-MAR,Quai reception,22,entree
2026-08-01T19:00:00,OMG-MAR,Quai reception,1,entree
2026-08-01T20:00:00,OMG-MAR,Quai reception,8,sortie
2026-08-01T21:00:00,OMG-MAR,Quai reception,3,sortie
2026-08-01T22:00:00,OMG-MAR,Quai reception,38,sortie
2026-08-01T23:00:00,OMG-MAR,Quai reception,3,sortie
2026-08-02T00:00:00,OMG-MAR,Quai reception,41,sortie
2026-08-02T01:00:00,OMG-MAR,Quai reception,6,entree
2026-08-02T02:00:00,OMG-MAR,Quai reception,23,entree
2026-08-02T03:00:00,OMG-MAR,Quai reception,20,sortie
2026-08-02T04:00:00,OMG-MAR,Quai reception,7,sortie
2026-08-02T05:00:00,OMG-MAR,Quai reception,32,entree
2026-08-02T06:00:00,OMG-MAR,Quai reception,6,entree
2026-08-02T07:00:00,OMG-MAR,Quai reception,31,sortie
2026-08-02T08:00:00,OMG-MAR,Quai reception,23,entree
2026-08-02T09:00:00,OMG-MAR,Quai reception,41,entree
2026-08-02T10:00:00,OMG-MAR,Quai reception,10,entree
2026-08-02T11:00:00,OMG-MAR,Quai reception,45,entree
2026-08-02T12:00:00,OMG-MAR,Quai reception,10,entree
2026-08-02T13:00:00,OMG-MAR,Quai reception,31,entree
2026-08-02T14:00:00,OMG-MAR,Quai reception,16,sortie
2026-08-02T15:00:00,OMG-MAR,Quai reception,33,sortie
2026-08-02T16:00:00,OMG-MAR,Quai reception,4,sortie
2026-08-02T17:00:00,OMG-MAR,Quai reception,32,sortie
2026-08-02T18:00:00,OMG-MAR,Quai reception,38,sortie
2026-08-02T19:00:00,OMG-MAR,Quai reception,0,entree
2026-08-02T20:00:00,OMG-MAR,Quai reception,27,sortie
2026-08-02T21:00:00,OMG-MAR,Quai reception,20,entree
2026-08-02T22:00:00,OMG-MAR,Quai reception,31,sortie
2026-08-02T23:00:00,OMG-MAR,Quai reception,24,entree
2026-08-03T00:00:00,OMG-MAR,Quai reception,12,entree
2026-08-03T01:00:00,OMG-MAR,Quai reception,11,entree
2026-08-03T02:00:00,OMG-MAR,Quai reception,15,entree
2026-08-03T03:00:00,OMG-MAR,Quai reception,22,entree
2026-08-03T04:00:00,OMG-MAR,Quai reception,36,sortie
2026-08-03T05:00:00,OMG-MAR,Quai reception,30,entree
2026-08-03T06:00:00,OMG-MAR,Quai reception,39,entree
2026-08-03T07:00:00,OMG-MAR,Quai reception,31,sortie
2026-08-03T08:00:00,OMG-MAR,Quai reception,9,entree
2026-08-03T09:00:00,OMG-MAR,Quai reception,24,entree
2026-08-03T10:00:00,OMG-MAR,Quai reception,17,entree
2026-08-03T11:00:00,OMG-MAR,Quai reception,3,sortie
2026-08-03T12:00:00,OMG-MAR,Quai reception,27,entree
2026-08-03T13:00:00,OMG-MAR,Quai reception,42,sortie
2026-08-03T14:00:00,OMG-MAR,Quai reception,26,entree
2026-08-03T15:00:00,OMG-MAR,Quai reception,18,entree
2026-08-03T16:00:00,OMG-MAR,Quai reception,45,sortie
2026-08-03T17:00:00,OMG-MAR,Quai reception,18,sortie
2026-08-03T18:00:00,OMG-MAR,Quai reception,34,entree
2026-08-03T19:00:00,OMG-MAR,Quai reception,10,entree
2026-08-03T20:00:00,OMG-MAR,Quai reception,43,sortie
2026-08-03T21:00:00,OMG-MAR,Quai reception,14,entree
2026-08-03T22:00:00,OMG-MAR,Quai reception,18,sortie
2026-08-03T23:00:00,OMG-MAR,Quai reception,27,entree
2026-08-01T00:00:00,OMG-MAR,Quai expedition,29,entree
2026-08-01T01:00:00,OMG-MAR,Quai expedition,34,sortie
2026-08-01T02:00:00,OMG-MAR,Quai expedition,26,sortie
2026-08-01T03:00:00,OMG-MAR,Quai expedition,25,sortie
2026-08-01T04:00:00,OMG-MAR,Quai expedition,27,entree
2026-08-01T05:00:00,OMG-MAR,Quai expedition,23,sortie
2026-08-01T06:00:00,OMG-MAR,Quai expedition,4,entree
2026-08-01T07:00:00,OMG-MAR,Quai expedition,32,entree
2026-08-01T08:00:00,OMG-MAR,Quai expedition,40,entree
2026-08-01T09:00:00,OMG-MAR,Quai expedition,30,sortie
2026-08-01T10:00:00,OMG-MAR,Quai expedition,15,entree
2026-08-01T11:00:00,OMG-MAR,Quai expedition,14,sortie
2026-08-01T12:00:00,OMG-MAR,Quai expedition,15,entree
2026-08-01T13:00:00,OMG-MAR,Quai expedition,26,entree
2026-08-01T14:00:00,OMG-MAR,Quai expedition,43,entree
2026-08-01T15:00:00,OMG-MAR,Quai expedition,27,entree
2026-08-01T16:00:00,OMG-MAR,Quai expedition,12,sortie
2026-08-01T17:00:00,OMG-MAR,Quai expedition,10,sortie
2026-08-01T18:00:00,OMG-MAR,Quai expedition,45,sortie
2026-08-01T19:00:00,OMG-MAR,Quai expedition,13,sortie
2026-08-01T20:00:00,OMG-MAR,Quai expedition,19,sortie
2026-08-01T21:00:00,OMG-MAR,Quai expedition,18,entree
2026-08-01T22:00:00,OMG-MAR,Quai expedition,36,entree
2026-08-01T23:00:00,OMG-MAR,Quai expedition,9,entree
2026-08-02T00:00:00,OMG-MAR,Quai expedition,42,sortie
2026-08-02T01:00:00,OMG-MAR,Quai expedition,22,entree
2026-08-02T02:00:00,OMG-MAR,Quai expedition,14,sortie
2026-08-02T03:00:00,OMG-MAR,Quai expedition,3,entree
2026-08-02T04:00:00,OMG-MAR,Quai expedition,11,sortie
2026-08-02T05:00:00,OMG-MAR,Quai expedition,0,entree
2026-08-02T06:00:00,OMG-MAR,Quai expedition,3,entree
2026-08-02T07:00:00,OMG-MAR,Quai expedition,41,sortie
2026-08-02T08:00:00,OMG-MAR,Quai expedition,11,entree
2026-08-02T09:00:00,OMG-MAR,Quai expedition,29,entree
2026-08-02T10:00:00,OMG-MAR,Quai expedition,33,entree
2026-08-02T11:00:00,OMG-MAR,Quai expedition,7,entree
2026-08-02T12:00:00,OMG-MAR,Quai expedition,12,sortie
2026-08-02T13:00:00,OMG-MAR,Quai expedition,3,sortie
2026-08-02T14:00:00,OMG-MAR,Quai expedition,3,entree
2026-08-02T15:00:00,OMG-MAR,Quai expedition,37,sortie
2026-08-02T16:00:00,OMG-MAR,Quai expedition,29,entree
2026-08-02T17:00:00,OMG-MAR,Quai expedition,14,entree
2026-08-02T18:00:00,OMG-MAR,Quai expedition,1,sortie
2026-08-02T19:00:00,OMG-MAR,Quai expedition,11,entree
2026-08-02T20:00:00,OMG-MAR,Quai expedition,22,sortie
2026-08-02T21:00:00,OMG-MAR,Quai expedition,26,entree
2026-08-02T22:00:00,OMG-MAR,Quai expedition,5,sortie
2026-08-02T23:00:00,OMG-MAR,Quai expedition,40,entree
2026-08-03T00:00:00,OMG-MAR,Quai expedition,15,sortie
2026-08-03T01:00:00,OMG-MAR,Quai expedition,41,sortie
2026-08-03T02:00:00,OMG-MAR,Quai expedition,10,sortie
2026-08-03T03:00:00,OMG-MAR,Quai expedition,20,sortie
2026-08-03T04:00:00,OMG-MAR,Quai expedition,36,sortie
2026-08-03T05:00:00,OMG-MAR,Quai expedition,26,sortie
2026-08-03T06:00:00,OMG-MAR,Quai expedition,31,entree
2026-08-03T07:00:00,OMG-MAR,Quai expedition,27,sortie
2026-08-03T08:00:00,OMG-MAR,Quai expedition,2,entree
2026-08-03T09:00:00,OMG-MAR,Quai expedition,32,entree
2026-08-03T10:00:00,OMG-MAR,Quai expedition,45,entree
2026-08-03T11:00:00,OMG-MAR,Quai expedition,5,sortie
2026-08-03T12:00:00,OMG-MAR,Quai expedition,6,sortie
2026-08-03T13:00:00,OMG-MAR,Quai expedition,24,sortie
2026-08-03T14:00:00,OMG-MAR,Quai expedition,39,entree
